Flavivirus references		Orthomyxovirus references	
accession	description	accessions	description
YP_009553376	Kampung Karu virus	YP_009996585.1	Quaranjavirus johnstonense
YP_009553010	Culex theileri flavivirus	YP_009996581.1	Quaranjavirus johnstonense
YP_009552767	Culex Flavi-like virus	YP_009996580.1	Quaranjavirus johnstonense
YP_009552278	Nanay virus	YP_009996579.1	Quaranjavirus johnstonense
YP_009513189	Kyasanur Forest disease virus	YP_009987462.1	Lake Chad virus
YP_009508311	Porcine pestivirus 1	YP_009987461.1	Lake Chad virus
YP_009433741	Potiskum virus	YP_009987460.1	Lake Chad virus
YP_009428568	Zika virus	YP_009553282.1	Oz virus
YP_009389296	Mac Peak virus	YP_009553281.1	Oz virus
YP_009388577	Karumba virus	YP_009553280.1	Oz virus
YP_009352228	Ochlerotatus caspius flavivirus	YP_009508040.1	Quaranjavirus quaranfilense
YP_009351861	Menghai flavivirus	YP_009449560.1	Influenza D virus (D/swine/Oklahoma/1334/2011)
YP_009350102	Xishuangbanna aedes flavivirus	YP_009449558.1	Influenza D virus (D/swine/Oklahoma/1334/2011)
YP_009350101	Phnom Penh bat virus	YP_009449557.1	Influenza D virus (D/swine/Oklahoma/1334/2011)
YP_009345037	Saumarez Reef virus	YP_009449556.1	Influenza D virus (D/swine/Oklahoma/1334/2011)
YP_009345036	Bamaga virus	YP_009118630.1	Influenza A virus (A/California/07/2009(H1N1))
YP_009345031	Meaban virus	YP_009118629.1	Influenza A virus (A/California/07/2009(H1N1))
YP_009345019	Nounane virus	YP_009118471.1	Influenza A virus (A/Shanghai/02/2013(H7N9))
YP_009344969	Jugra virus	YP_009110687.1	Wellfleet Bay virus
YP_009344968	Uganda S virus	YP_009110686.1	Wellfleet Bay virus
YP_009344967	Saboya virus	YP_009110683.1	Wellfleet Bay virus
YP_009344962	Palm Creek virus	YP_145809.1	Thogotovirus thogotoense
YP_009344961	Bouboui virus	YP_145807.1	Infectious salmon anemia virus
YP_009305198.1	Anopheles flavivirus variant 1	YP_145803.1	Isavirus salaris
YP_009305197	Anopheles flavivirus variant 1	YP_089656.1	Influenza C virus (C/Ann Arbor/1/50)
YP_009259489	Hanko virus	YP_089654.1	Influenza C virus (C/Ann Arbor/1/50)
YP_009259488	Nakiwogo virus	YP_089653.1	Influenza C virus (C/Ann Arbor/1/50)
YP_009259257	Cell fusing agent virus	YP_089652.1	Influenza C virus (C/Ann Arbor/1/50)
YP_009256193	Culiseta flavivirus	XDO01639.1	Bafoussam mosquito orthomyxovirus 1
YP_009256192	Edge Hill virus	URQ09140.1	Halyomorpha halys orthomyxo-like virus 1
YP_009222007	Banzi virus	URQ09139.1	Halyomorpha halys orthomyxo-like virus 1
YP_009164031	Mercadeo virus	UQT02521.1	Red mite quaranjavirus
YP_009164029	Parramatta River virus	UQT02520.1	Red mite quaranjavirus
YP_009056848	Lammi virus	UQS95354.1	Byreska virus
YP_009056847	Ilomantsi virus	UQS95353.1	Byreska virus
YP_009041466	Nienokoue virus	UQS95351.1	Byreska virus
YP_009026410	Nhumirim virus	UQS95348.1	Byreldi virus
YP_009001771	Kama virus	UQS95347.1	Byreldi virus
YP_009001464	Tyuleniy virus	UQS95345.1	Byreldi virus
YP_007877501	Mosquito flavivirus	UQS93311.1	Bactrocera correcta Orthomyxo-like virus
YP_005454257	Chaoyang virus	UPT53757.1	Bactrocera correcta orthomyxo-like virus isolate Bz
YP_005352889	Donggang virus	UPT53748.1	Bactrocera tryoni orthomyxo-like virus
YP_003029843	Aedes flavivirus	UNQ78355.1	Bourbon virus
YP_002884239	Quang Binh virus	UNQ78354.1	Bourbon virus
YP_001621843	dengue virus type 3	UMO75735.1	Hainan orthomyxo-like virus 2
YP_001527877	West Nile virus	UMO75734.1	Hainan orthomyxo-like virus 2
YP_001469633	Hepatitis C virus genotype 5	UMO75733.1	Sichuan orthomyxo-like virus 1
YP_899469	Culex flavivirus	UMO75730.1	Yunnan sediment orthomyxo-like virus
YP_164264	Usutu virus	UMO75729.1	Yunnan sediment orthomyxo-like virus
NP_891560	Kamiti River virus	UMO75726.1	Heilongjiang sediment orthomyxo-like virus
