eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE001	high	100	viral (16)	VDB (16)	NC_071326.1_29480699-29481436:+	7.32e-5	100	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_071326.1_62566470-62567349:+	2.7e-35	32.1	hypothetical protein [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42596.1 	hypothetical protein [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42596.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Guadeloupe mosquito quaranja-like virus 1	Negarnaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE003	high	100	viral (8)	VDB (7), UDB Viruses (1)	NC_071327.1_4070056-4070178:-	3.2e-11	65.9	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE004	high	100	viral (4)	VDB (3), UDB Viruses (1)	NC_071327.1_44766411-44766561:+	4.42e-10	52.7	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE005	high	100	viral (21)	VDB (14), UDB Viruses (7)	NC_071327.1_47208007-47208468:-	1.3800000000000001e-58	61	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE006	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_071327.1_47208743-47209283:-	3.12e-19	33.5	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE007	high	97	viral (12), maybe-viral (1)	VDB (9), UDB Viruses (2), capsid (1), uncharacterized protein (1)	NC_071326.1_34182626-34185444:-	0	77.5	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Australian Anopheles totivirus	Duplornaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE008	high	95	viral (9), maybe-viral (1)	VDB (6), UDB Viruses (3), uncharacterized protein (1)	NC_071326.1_43061860-43062656:+	3.8600000000000003e-79	47	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE009	high	95	viral (8), maybe-viral (1)	UDB Viruses (4), VDB (4), uncharacterized protein (1)	NC_071326.1_62514231-62515634:+	1.4099999999999998e-96	38.4	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE010	high	95	viral (20), maybe-viral (1)	VDB (11), UDB Viruses (8), glycoprotein protein (1), virus (1)	NC_071327.1_69060712-69060915:+	4.3e-17	58	Putative glycoprotein (Fragment) n=8 Tax=root  RepID=A0A2M3ZZJ6_9DIPT	glycoprotein precursor [Anopheles triannulatus orthophasmavirus] acc=YP_010086190.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
GCF_943734725.1_idAnoMarsDA_429_01_genomic_EVE011	high	94	viral (22), non-viral (1)	VDB (15), UDB Viruses (7), annotated protein of Eukaryota (1)	NC_071327.1_60913666-60914856:+	4.95e-59	32.4	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
