eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE001	high	100	viral (12)	VDB (9), UDB Viruses (3)	NC_064870.1_14245406-14245608:+	7.09e-16	54.4	PB2 [Guadeloupe mosquito quaranja-like virus 2] acc=QEM39327.1 	PB2 [Guadeloupe mosquito quaranja-like virus 2] acc=QEM39327.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Guadeloupe mosquito quaranja-like virus 2	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE002	high	100	viral (13)	VDB (10), UDB Viruses (3)	NC_064871.1_26753226-26753862:-	2.93e-63	54.2	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE003	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064871.1_42667800-42668101:+	2.29e-11	41.7	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE004	high	100	viral (4)	VDB (4)	NC_064871.1_48211773-48212012:+	2.58e-13	50	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE005	high	100	viral (11)	VDB (8), UDB Viruses (3)	NC_064871.1_54446214-54446625:-	1.7100000000000001e-29	52.4	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE006	high	100	viral (18)	VDB (12), UDB Viruses (6)	NC_064871.1_72769543-72770022:+	1.16e-27	34.1	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE007	high	100	viral (1)	VDB (1)	NC_064871.1_72783979-72784296:+	2.31e-12	38.4	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_064871.1_79216147-79216616:+	5.57e-8	29.9	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE009	high	100	viral (20)	VDB (11), UDB Viruses (9)	NC_064872.1_13287997-13289424:+	5.37e-39	26.7	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE010	high	96	viral (19), maybe-viral (1)	VDB (15), UDB Viruses (4), uncharacterized protein (1)	NC_064871.1_64384162-64384894:+	9.77e-61	50.2	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE011	high	94	viral (18), maybe-viral (2)	VDB (10), UDB Viruses (8), uncharacterized protein (2)	NC_064871.1_41574258-41575414:-	3.35e-26	24.9	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	Negarnaviricota
GCF_943734695.1_idAnoMacuDA_375_x_genomic_EVE012	high	94	viral (18), maybe-viral (2)	VDB (10), UDB Viruses (8), uncharacterized protein (2)	NC_064871.1_41576696-41577852:-	3.35e-26	24.9	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	Negarnaviricota
