eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADQCW01_EVE001	high	100	viral (8)	VDB (7), UDB Viruses (1)	JADQCW010000001.1_30971445-30971838:-	9.89e-20	45.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JADQCW01_EVE002	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQCW010000005.1_13233236-13233440:-	1.39e-15	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCW01_EVE003	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCW010000005.1_13233810-13233956:-	8.4e-16	59.2	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCW01_EVE004	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCW010000005.1_13234390-13234566:-	2e-16	54.2	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCW01_EVE005	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	JADQCW010000005.1_11854011-11854151:+	3.15e-19	66	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JADQCW01_EVE006	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCW010000005.1_13231517-13231720:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCW01_EVE007	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCW010000005.1_13232089-13232292:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCW01_EVE008	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCW010000005.1_13232663-13232866:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCW01_EVE009	high	95	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCW010000005.1_13234956-13235186:-	1e-17	49.4	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Yunnan sediment orthomyxo-like virus	Negarnaviricota
JADQCW01_EVE010	high	91	viral (18), maybe-viral (1), non-viral (1)	VDB (14), UDB Viruses (4), annotated protein of unclassified root superkingdom (1), uncharacterized protein (1)	JADQCW010000003.1_23706730-23707113:-	1.7e-26	43	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
