eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JAIQDY01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	JAIQDY010000001.1_851603-851924:-	5.87e-14	45.5	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
JAIQDY01_EVE002	high	100	viral (2)	VDB (2)	JAIQDY010000003.1_27329749-27330392:-	8.41e-15	33.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
JAIQDY01_EVE003	high	100	viral (9)	VDB (7), UDB Viruses (2)	JAIQDY010000005.1_7927866-7928212:+	1.77e-20	40.9	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JAIQDY01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	JAIQDY010000028.1_95863-96152:+	1.85e-11	37.2	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JAIQDY01_EVE005	high	84	viral (4), maybe-viral (2)	VDB (3), hypothetical protein (1), UDB Viruses (1), uncharacterized protein (1)	JAIQDY010000004.1_3133775-3134442:+	6.14e-91	65.7	capsid [Dragana partiti-like virus] acc=QRD99908.1 	capsid [Dragana partiti-like virus] acc=QRD99908.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dragana partiti-like virus	Pisuviricota
JAIQDY01_EVE006	high	79	viral (2), maybe-viral (1)	UDB Viruses (1), uncharacterized protein (1), VDB (1)	JAIQDY010000005.1_8216715-8217348:+	1e-14	28.5	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JAIQDY01_EVE007	high	72	viral (7), maybe-viral (4)	VDB (5), uncharacterized protein (3), UDB Viruses (2), hypothetical protein (1)	JAIQDY010000007.1_1163923-1164339:+	4.59e-21	42.4	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JAIQDY01_EVE008	high	65	viral (12), maybe-viral (6), non-viral (2)	VDB (8), uncharacterized protein (5), UDB Viruses (4), annotated protein of Eukaryota (2), hypothetical protein (1)	JAIQDY010000005.1_7931490-7932050:+	5.15e-24	28.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JAIQDY01_EVE009	high	51	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), UDB Viruses (4), glycoprotein protein (2), polyprotein protein (2), annotated protein of Eukaryota (1)	JAIQDY010000011.1_19130-19862:+	2.4500000000000002e-117	66.9	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
JAIQDY01_EVE010	high	51	viral (10), maybe-viral (9), non-viral (1)	VDB (6), uncharacterized protein (5), UDB Viruses (4), glycoprotein protein (2), polyprotein protein (2), annotated protein of Eukaryota (1)	JAIQDY010000012.1_248826-249558:-	8.599999999999999e-118	67.8	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
