eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE001	high	100	viral (5)	VDB (5)	NC_069140.1_58679902-58680059:+	2.65e-13	66	putative glycoprotein [Bolahun virus variant 1] acc=AOR51367.1 	putative glycoprotein [Bolahun virus variant 1] acc=AOR51367.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Bolahun virus variant 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE002	high	100	viral (20)	VDB (16), UDB Viruses (4)	NC_069140.1_66746007-66749928:-	0	51.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE003	high	100	viral (21)	VDB (17), UDB Viruses (4)	NC_069140.1_66883170-66888362:+	0	47.6	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE004	high	100	viral (20)	VDB (13), UDB Viruses (7)	NC_069140.1_9199249-9199580:-	9.159999999999999e-24	46.7	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE005	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_069141.1_25234784-25235003:+	7.06e-14	50	putative glycoprotein [Gambie virus] acc=AOR51380.1 	putative glycoprotein [Gambie virus] acc=AOR51380.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE006	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_069141.1_44202626-44203191:+	3.41e-18	36	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE007	high	100	viral (20)	VDB (12), UDB Viruses (8)	NC_069141.1_47074485-47075527:-	1.9e-25	28	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE008	high	100	viral (19)	VDB (11), UDB Viruses (8)	NC_069141.1_47075518-47076282:-	1.18e-20	29.6	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE009	high	100	viral (19)	VDB (11), UDB Viruses (8)	NC_069141.1_47076273-47077037:-	5.38e-20	29.3	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE010	high	100	viral (18)	VDB (10), UDB Viruses (8)	NC_069141.1_47077028-47077789:-	8.06e-19	28.3	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE011	high	100	viral (18)	VDB (10), UDB Viruses (8)	NC_069141.1_47077780-47078544:-	2.77e-18	29.3	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE012	high	100	viral (8)	VDB (6), UDB Viruses (2)	NC_069141.1_47078533-47079147:-	9.14e-16	31.4	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
GCF_943734755.1_idAnoMoucSN_F20_07_genomic_EVE013	high	100	viral (17)	VDB (10), UDB Viruses (7)	NC_069141.1_47081429-47082142:-	2.64e-20	30.8	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
