eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
APCN01_EVE001	high	100	viral (15)	VDB (9), UDB Viruses (6)	APCN01001075.1_83938-85338:-	1.65e-205	66.3	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
APCN01_EVE002	high	95	viral (20), non-viral (1)	VDB (13), UDB Viruses (7), annotated protein of Eukaryota (1)	APCN01001040.1_1251-1654:+	1.15e-16	37	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Yunnan sediment orthomyxo-like virus	Negarnaviricota
APCN01_EVE003	high	95	viral (19), maybe-viral (1)	VDB (15), UDB Viruses (3), glycoprotein protein (1), virus (1)	APCN01001075.1_81023-81240:-	2.34e-18	40.5	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
APCN01_EVE004	high	92	viral (18), maybe-viral (1), non-viral (1)	VDB (13), UDB Viruses (5), annotated protein of Eukaryota (1), uncharacterized protein (1)	APCN01009665.1_306-1442:+	4.12e-76	35.7	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
APCN01_EVE005	high	88	viral (18), maybe-viral (2)	VDB (15), UDB Viruses (3), uncharacterized protein (2)	APCN01004499.1_6275-6643:+	2.58e-30	55.8	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
APCN01_EVE006	high	71	viral (6), maybe-viral (3)	VDB (5), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	APCN01004503.1_4704-4838:+	5.68e-8	100	uncharacterized protein LOC120901183 n=1 Tax=Anopheles arabiensis  RepID=UPI001AADB3DA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
APCN01_EVE007	high	68	viral (5), maybe-viral (4)	VDB (4), uncharacterized protein (3), hypothetical protein (1), UDB Viruses (1)	APCN01004494.1_9124-9420:+	1.59e-22	45.1	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
APCN01_EVE008	high	56	viral (10), maybe-viral (6), non-viral (4)	viral (10), uncharacterized protein (6), annotated protein of Eukaryota (4)	APCN01000774.1_37975-38355:-	3.84e-54	66.1	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
APCN01_EVE009	high	56	viral (12), maybe-viral (7), non-viral (2)	VDB (10), uncharacterized protein (5), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	APCN01002298.1_3610-3810:+	1.38e-26	71.6	Uncharacterized protein n=1 Tax=Aedes albopictus  RepID=A0A182GCU7_AEDAL	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Negarnaviricota
APCN01_EVE010	high	55	viral (11), maybe-viral (7), non-viral (2)	VDB (7), uncharacterized protein (5), UDB Viruses (4), annotated protein of Eukaryota (2), polyprotein protein (2)	APCN01004591.1_39-233:+	1.38e-29	90.8	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
