eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSEH02_EVE001	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEH020000023.1_410422-410837:+	8.58e-25	41.1	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEH02_EVE002	high	100	viral (5)	VDB (3), UDB Viruses (2)	CALSEH020000023.1_415896-416640:+	7.27e-36	48.4	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Chapada dielmovirus	Negarnaviricota
CALSEH02_EVE003	high	100	viral (12)	VDB (8), UDB Viruses (4)	CALSEH020000036.1_3331055-3332715:-	8.539999999999999e-82	31	Protease n=9 Tax=Chrysoviridae  RepID=A0A894KF10_9VIRU	Protease n=9 Tax=Chrysoviridae  RepID=A0A894KF10_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Chrysoviridae;g__unclassified Chrysoviridae genus;s__unclassified Chrysoviridae species	Duplornaviricota
CALSEH02_EVE004	high	100	viral (20)	VDB (16), UDB Viruses (4)	CALSEH020000143.1_88533-89306:+	1.4899999999999997e-159	82.9	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Soufli partiti-like virus	Pisuviricota
CALSEH02_EVE005	high	96	viral (22), non-viral (1)	VDB (20), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	CALSEH020000036.1_5571230-5571885:-	3.72e-74	55.4	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	unclassified Viruses phylum
CALSEH02_EVE006	high	96	viral (13), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1)	CALSEH020000076.1_171575-172533:+	8.95e-137	59.6	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEH02_EVE007	high	95	viral (8), maybe-viral (1)	VDB (6), UDB Viruses (2), uncharacterized protein (1)	CALSEH020000013.1_258529-259366:+	6.61e-110	60.3	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEH02_EVE008	high	94	viral (10), maybe-viral (1)	VDB (7), UDB Viruses (3), uncharacterized protein (1)	CALSEH020000076.1_290551-290853:+	2.04e-34	64.4	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	unclassified Viruses phylum
CALSEH02_EVE009	high	93	viral (18), maybe-viral (1), non-viral (1)	VDB (17), annotated protein of unclassified root superkingdom (1), UDB Viruses (1), uncharacterized protein (1)	CALSEH020000076.1_349970-350278:+	4.66e-31	59.8	RdRp [Hubei partiti-like virus 36] acc=APG78249.1 	RdRp [Hubei partiti-like virus 36] acc=APG78249.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei partiti-like virus 36	Pisuviricota
CALSEH02_EVE010	high	92	viral (6), maybe-viral (1)	VDB (5), UDB Viruses (1), uncharacterized protein (1)	CALSEH020000076.1_324401-324703:+	3.9099999999999995e-35	65.3	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEH02_EVE011	high	87	viral (8), maybe-viral (2)	VDB (5), UDB Viruses (3), uncharacterized protein (2)	CALSEH020000013.1_1441049-1442471:+	3.59e-65	32.3	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Enontekio totivirus 5	Duplornaviricota
