eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADQCZ01_EVE001	high	100	viral (6)	VDB (5), UDB Viruses (1)	JADQCZ010000001.1_33215500-33215894:-	1.03e-18	46.6	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JADQCZ01_EVE002	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCZ010000004.1_43298606-43300085:+	3.6999999999999995e-200	63.7	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADQCZ01_EVE003	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCZ010000005.1_10939857-10941368:-	9.139999999999999e-217	64.6	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
JADQCZ01_EVE004	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQCZ010000005.1_12733113-12733317:-	1.39e-15	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCZ01_EVE005	high	100	viral (23)	VDB (15), UDB Viruses (8)	JADQCZ010000005.1_12734248-12734478:-	2.56e-17	48.1	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Yunnan sediment orthomyxo-like virus	Negarnaviricota
JADQCZ01_EVE006	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCZ010000005.1_26005780-26007172:-	2.6899999999999997e-166	58	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
JADQCZ01_EVE007	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	JADQCZ010000005.1_11504627-11504767:+	1.69e-19	66	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JADQCZ01_EVE008	high	96	viral (21), non-viral (1)	VDB (14), UDB Viruses (7), annotated protein of Eukaryota (1)	JADQCZ010000005.1_12733685-12733918:-	5.61e-18	52.7	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQCZ01_EVE009	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCZ010000005.1_12731968-12732171:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCZ01_EVE010	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCZ010000005.1_12732540-12732743:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCZ01_EVE011	high	91	viral (18), maybe-viral (1), non-viral (1)	VDB (11), UDB Viruses (7), annotated protein of unclassified root superkingdom (1), uncharacterized protein (1)	JADQCZ010000005.1_11501486-11501842:+	3.8e-25	39.5	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JADQCZ01_EVE012	high	86	viral (18), maybe-viral (3), non-viral (1)	VDB (15), UDB Viruses (3), uncharacterized protein (3), annotated protein of unclassified root superkingdom (1)	JADQCZ010000003.1_24793193-24793578:-	1.97e-22	44.3	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JADQCZ01_EVE013	high	76	viral (7), maybe-viral (2)	VDB (5), UDB Viruses (2), uncharacterized protein (2)	JADQCZ010000003.1_21661030-21661510:-	5.33e-32	81.1	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JADQCZ01_EVE014	high	76	viral (6), maybe-viral (2)	VDB (4), UDB Viruses (2), uncharacterized protein (2)	JADQCZ010000003.1_21662731-21663123:-	1.22e-30	52.8	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JADQCZ01_EVE015	high	73	viral (7), maybe-viral (3)	VDB (6), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	JADQCZ010000003.1_21646938-21647103:-	8.67e-8	100	uncharacterized protein LOC120901183 n=1 Tax=Anopheles arabiensis  RepID=UPI001AADB3DA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
