eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AXCN02_EVE001	high	100	viral (21)	VDB (19), UDB Viruses (2)	AXCN02000286.1_62461-62765:-	1.58e-6	34	Nucleoprotein n=1 Tax=Kwatta virus  RepID=A0A0D3R130_9RHAB	Nucleoprotein n=1 Tax=Kwatta virus  RepID=A0A0D3R130_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Sunrhavirus;s__Sunrhavirus kwatta	Negarnaviricota
AXCN02_EVE002	high	100	viral (9)	VDB (5), UDB Viruses (3), virus (1)	AXCN02000601.1_48-2487:+	0	96.5	(+)RNA virus helicase C-terminal domain-containing protein n=1 Tax=Anopheles farauti  RepID=A0A182QRG4_9DIPT	RNA helicase n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJR3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
AXCN02_EVE003	high	100	viral (20)	VDB (13), UDB Viruses (7)	AXCN02001554.1_81227-81818:-	2.69e-38	43.7	PA [Aedes alboannulatus orthomyxo-like virus] acc=ASA47422.1 	PA [Aedes alboannulatus orthomyxo-like virus] acc=ASA47422.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
AXCN02_EVE004	high	100	viral (21)	VDB (16), UDB Viruses (5)	AXCN02001843.1_9383-11020:-	1.4e-301	74.2	RdRp [Partitivirus-like 2] acc=AOR51389.1 	RdRp [Partitivirus-like 2] acc=AOR51389.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitivirus-like 2	unclassified Viruses phylum
AXCN02_EVE005	high	100	viral (8)	UDB Viruses (4), VDB (4)	AXCN02001851.1_83-1202:+	7.51e-82	39.6	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
AXCN02_EVE006	high	100	viral (21)	VDB (14), UDB Viruses (7)	AXCN02001880.1_38257-38956:-	3.39e-28	34.6	polymerase PA [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42581.1 	polymerase PA [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42581.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Guadeloupe mosquito quaranja-like virus 1	Negarnaviricota
AXCN02_EVE007	high	100	viral (1)	VDB (1)	AXCN02001934.1_12353-12669:+	6.81e-16	44.9	hypothetical protein 2 [Bactrocera dorsalis orbivirus] acc=UPT53658.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus] acc=UPT53658.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus	Duplornaviricota
AXCN02_EVE008	high	100	viral (4)	UDB Viruses (2), VDB (2)	AXCN02001944.1_667-1201:-	4.4299999999999995e-32	37.6	putative glycoprotein [Gambie virus] acc=AOR51380.1 	putative glycoprotein [Gambie virus] acc=AOR51380.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
AXCN02_EVE009	high	100	viral (13)	VDB (8), UDB Viruses (5)	AXCN02002054.1_2738-3262:-	3.17e-17	31.3	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	Negarnaviricota
AXCN02_EVE010	high	100	viral (1)	VDB (1)	AXCN02002054.1_5724-6230:-	7.75e-15	28.7	VP3 [Morris orbivirus] acc=AQU42770.1 	VP3 [Morris orbivirus] acc=AQU42770.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Morris orbivirus	Duplornaviricota
AXCN02_EVE011	high	100	viral (1)	VDB (1)	AXCN02002075.1_190607-190958:+	1.12e-13	42.6	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
AXCN02_EVE012	high	100	viral (1)	VDB (1)	AXCN02002075.1_190991-191437:+	1.2099999999999999e-24	38.3	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
AXCN02_EVE013	high	100	viral (11)	VDB (8), UDB Viruses (3)	AXCN02002206.1_735-1385:-	3.56e-65	52.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
AXCN02_EVE014	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCN02002261.1_5721-6071:+	6.83e-12	25.6	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
AXCN02_EVE015	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCN02002360.1_19988-20323:-	1.82e-10	28.6	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
AXCN02_EVE016	high	100	viral (5)	VDB (4), UDB Viruses (1)	AXCN02002758.1_183-656:-	5.99e-12	25.8	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
