eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AXCL01_EVE001	high	100	viral (20)	VDB (14), UDB Viruses (6)	AXCL01001367.1_1969-4833:-	1.39e-305	48.3	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
AXCL01_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCL01010940.1_1906-2163:-	1.59e-16	50	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
AXCL01_EVE003	high	100	viral (11)	VDB (8), UDB Viruses (3)	AXCL01012459.1_2794-3553:+	5.57e-72	47.1	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
AXCL01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCL01013855.1_1526-1808:-	4.9e-8	32.6	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
AXCL01_EVE005	high	100	viral (5)	UDB Viruses (3), VDB (2)	AXCL01017469.1_1653-2211:-	2.44e-46	48.7	polyprotein [Karumba virus] acc=YP_009388577.1 	polyprotein [Karumba virus] acc=YP_009388577.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Karumba virus	Kitrinoviricota
AXCL01_EVE006	high	100	viral (17)	VDB (10), UDB Viruses (7)	AXCL01017501.1_290-1190:-	2.37e-25	26.3	Glycoprotein n=2 Tax=Wuhan Mosquito Virus 9  RepID=A0A8B0RLA0_9RHAB	Glycoprotein n=2 Tax=Wuhan Mosquito Virus 9  RepID=A0A8B0RLA0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	Negarnaviricota
AXCL01_EVE007	high	100	viral (2)	VDB (2)	AXCL01021816.1_21-288:-	1.06e-7	46.3	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
AXCL01_EVE008	high	100	viral (4)	VDB (3), UDB Viruses (1)	AXCL01023971.1_4-168:+	3.99e-18	66.1	RdRp [Gambie virus] acc=AOR51378.1 	RdRp [Gambie virus] acc=AOR51378.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
AXCL01_EVE009	high	100	viral (10)	VDB (8), UDB Viruses (2)	AXCL01026970.1_60-275:-	8.04e-33	77.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
AXCL01_EVE010	high	100	viral (4)	UDB Viruses (2), VDB (2)	AXCL01031219.1_149-1420:-	1.81e-86	36.8	putative glycoprotein [Gambie virus] acc=AOR51380.1 	putative glycoprotein [Gambie virus] acc=AOR51380.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
AXCL01_EVE011	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCL01034186.1_1-270:-	2.04e-5	31.1	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
