eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
NJHH01_EVE001	high	100	viral (12)	VDB (8), UDB Viruses (4)	NJHH01001333.1_52110-53849:-	6.8e-89	31.1	Protease n=9 Tax=Chrysoviridae  RepID=A0A894KF10_9VIRU	Protease n=9 Tax=Chrysoviridae  RepID=A0A894KF10_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Chrysoviridae;g__unclassified Chrysoviridae genus;s__unclassified Chrysoviridae species	Duplornaviricota
NJHH01_EVE002	high	100	viral (20)	VDB (16), UDB Viruses (4)	NJHH01001846.1_2716-2953:+	3.82e-17	43.5	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Enontekio totivirus 5	Duplornaviricota
NJHH01_EVE003	high	100	viral (4)	UDB Viruses (2), VDB (2)	NJHH01003635.1_2166-2581:+	8.58e-25	41.1	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
NJHH01_EVE004	high	100	viral (5)	VDB (3), UDB Viruses (2)	NJHH01003635.1_6976-7720:+	5.3e-39	50.3	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Chapada dielmovirus	Negarnaviricota
NJHH01_EVE005	high	100	viral (5)	VDB (4), UDB Viruses (1)	NJHH01015746.1_108-1122:+	2.04e-33	30.3	nonstructural protein [Fako virus] acc=YP_009104381.1 	nonstructural protein [Fako virus] acc=YP_009104381.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Dinovernavirus;s__Fako virus	Duplornaviricota
NJHH01_EVE006	high	96	viral (13), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1)	NJHH01002380.1_1029-2129:-	2.52e-159	60.9	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
NJHH01_EVE007	high	95	viral (20), non-viral (1)	VDB (19), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	NJHH01001319.1_412-1067:+	1.32e-74	55.4	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	unclassified Viruses phylum
NJHH01_EVE008	high	95	viral (8), maybe-viral (1)	VDB (6), UDB Viruses (2), uncharacterized protein (1)	NJHH01001994.1_703-1540:-	6.61e-110	60.3	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
NJHH01_EVE009	high	92	viral (18), non-viral (2)	VDB (17), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), UDB Viruses (1)	NJHH01016330.1_1709-2000:-	3.06e-26	53.5	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	unclassified Viruses phylum
NJHH01_EVE010	high	89	viral (10), maybe-viral (2)	VDB (7), UDB Viruses (3), uncharacterized protein (2)	NJHH01014778.1_388-690:-	7.46e-36	65.3	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	unclassified Viruses phylum
