main_genome	haplotype	main_eve_count	haplotype_eve_count	eve_percentage	main_basepairs	haplotype_basepairs	haplotype_percentage_of_main	main_eve_percentage_per_genome	haplotype_eve_percentage_per_genome	EVE_basepair_percentage
JABUIU01	JABUIV01	65	6	9.230769	172602732	3802539	2.2	3.77E-05	1.58E-04	418.99793
GCA_943734665.2	CALSEH02	47	180	382.978723	176564600	175411823	99.35	2.66E-05	1.03E-04	385.4956
GCA_963924065.2	CAWUOX01	31	15	48.387097	252144866	144416121	57.28	1.23E-05	1.04E-05	84.48197
CAJZCY01	CALTRM01	86	33	38.372093	277747802	104747681	37.71	3.10E-05	3.15E-05	101.74702
GCF_943734685.1	CALSEE01	38	9	23.684211	262591929	113471412	43.21	1.45E-05	7.93E-06	54.80925
GCF_943734705.1	CALSDW01	547	131	23.948812	269970552	229140800	84.88	2.03E-04	5.72E-05	28.21616
GCF_943734745.1	CALSEC01	269	56	20.817844	181624736	176521697	97.19	1.48E-04	3.17E-05	21.41966
GCF_943734845.2	CALSDO01	801	515	64.294632	250698078	226239815	90.24	3.20E-04	2.28E-04	71.24538
GCA_964033645.1	CAWUOS01	98	402	410.204082	248370025	135932123	54.73	3.95E-05	2.96E-04	749.50936
GCF_943734735.2	CALSDS01	39	37	94.871795	264435381	207232648	78.37	1.47E-05	1.79E-05	121.0594
GCF_943734695.1	CALSEK01	63	51	80.952381	224053941	215811166	96.32	2.81E-05	2.36E-05	84.04431
GCF_943734725.1	CALSEI01	545	241	44.220183	225707104	217350203	96.3	2.41E-04	1.11E-04	45.92041
GCF_943734755.1	CALSED01	867	385	44.405998	271297023	224236982	82.65	3.20E-04	1.72E-04	53.72537
GCF_943737925.1	CALSFZ01	54	36	66.666667	195187201	164693322	84.38	2.77E-05	2.19E-05	79.01037
GCF_943734765.1	CALSEF01	547	240	43.875686	269983652	224751855	83.25	2.03E-04	1.07E-04	52.70576
