eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AXCO02_EVE001	high	100	viral (6)	VDB (5), UDB Viruses (1)	AXCO02012103.1_2396-2783:-	2.61e-18	48.1	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
AXCO02_EVE002	high	100	viral (4)	UDB Viruses (2), VDB (2)	AXCO02029347.1_91-858:+	2.1599999999999997e-166	91.8	Putative glycoprotein n=2 Tax=Riboviria  RepID=A0A1C9U5D7_9MONO	Putative glycoprotein n=2 Tax=Riboviria  RepID=A0A1C9U5D7_9MONO	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Negarnaviricota
AXCO02_EVE003	high	95	viral (19), maybe-viral (1)	VDB (16), UDB Viruses (3), uncharacterized protein (1)	AXCO02019825.1_808-1086:-	9.749999999999999e-23	44.1	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
AXCO02_EVE004	high	92	viral (18), maybe-viral (2)	VDB (12), UDB Viruses (5), glycoprotein protein (2), virus (1)	AXCO02011988.1_2306-2662:+	1.38e-39	53.8	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
AXCO02_EVE005	high	90	viral (14), maybe-viral (1), non-viral (1)	VDB (7), UDB Viruses (6), annotated protein of unclassified root superkingdom (1), capsid (1), uncharacterized protein (1)	AXCO02011232.1_380-1457:+	1.14e-59	34.1	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus xinchengense	Negarnaviricota
AXCO02_EVE006	high	88	viral (18), maybe-viral (2)	VDB (16), UDB Viruses (2), uncharacterized protein (2)	AXCO02026521.1_1280-1622:+	1.09e-26	77.6	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	nonstructural protein 1 [Broome densovirus 1] acc=QLJ83483.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Muscodensovirus;s__Muscodensovirus dipteran2	Cossaviricota
AXCO02_EVE007	high	59	viral (11), maybe-viral (5), non-viral (4)	viral (11), uncharacterized protein (5), annotated protein of Eukaryota (4)	AXCO02001292.1_37161-37313:+	6.31e-32	94.1	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
AXCO02_EVE008	high	52	non-viral (1), viral (1)	annotated protein of Eukaryota (1), VDB (1)	AXCO02007785.1_9555-9836:+	4.76e-9	37.5	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1 	E2 [Canis familiaris papillomavirus 15] acc=AGA15834.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Chipapillomavirus;s__Chipapillomavirus 3	Chordata
AXCO02_EVE009	high	51	maybe-viral (3), viral (2)	uncharacterized protein (3), UDB Viruses (1), VDB (1)	AXCO02029328.1_14-130:+	5.78e-9	59	Uncharacterized protein n=1 Tax=Aedes albopictus  RepID=A0A182GCU7_AEDAL	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
AXCO02_EVE010	high	50	maybe-viral (11), viral (9)	uncharacterized protein (6), VDB (6), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	AXCO02022235.1_1615-2194:+	2.49e-71	64.8	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
AXCO02_EVE011	high	48	maybe-viral (4), viral (2)	uncharacterized protein (3), polyprotein protein (1), UDB Viruses (1), VDB (1)	AXCO02011561.1_2824-3642:+	1.08e-9	36.3	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
AXCO02_EVE012	high	47	maybe-viral (10), viral (8), non-viral (2)	uncharacterized protein (5), VDB (5), glycoprotein protein (3), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2)	AXCO02016910.1_5886-6127:-	4.87e-35	75.9	glycoprotein [Croada virus] acc=ASV45861.1 	glycoprotein [Croada virus] acc=ASV45861.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Croada virus	Arthropoda
AXCO02_EVE013	high	47	maybe-viral (13), viral (9)	uncharacterized protein (7), VDB (6), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2), hypothetical protein (1)	AXCO02022444.1_2893-3404:-	6.649999999999999e-96	89.8	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
AXCO02_EVE014	high	44	maybe-viral (14), viral (7)	uncharacterized protein (7), VDB (5), glycoprotein protein (3), hypothetical protein (2), polyprotein protein (2), UDB Viruses (2)	AXCO02022235.1_3-312:+	5.18e-51	86.5	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
AXCO02_EVE015	high	44	viral (16), maybe-viral (9), non-viral (9), retro (2)	VDB (16), uncharacterized protein (9), annotated protein of Eukaryota (7), annotated protein of unclassified root superkingdom (2), retro (2)	AXCO02029402.1_867-1114:+	4.37e-25	60.2	RNA-directed DNA polymerase (Fragment) n=1 Tax=Aedes albopictus  RepID=A0A1W7R686_AEDAL	putative RNA-dependent RNA polymerase [Aedes aegypti To virus 2] acc=QPF16710.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes aegypti To virus 2	Arthropoda
AXCO02_EVE016	high	43	maybe-viral (10), viral (7), non-viral (3)	uncharacterized protein (5), VDB (4), annotated protein of Eukaryota (3), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	AXCO02015612.1_172-480:-	7.41e-60	90.3	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
