eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JAOEFI01_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	JAOEFI010000001.1_3199456-3199780:+	3.39e-17	39.7	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
JAOEFI01_EVE002	high	100	viral (21)	VDB (14), UDB Viruses (7)	JAOEFI010001471.1_11-799:-	3.09e-16	23.7	Glycoprotein n=4 Tax=Riverside virus 1  RepID=A0A140D049_9RHAB	Glycoprotein n=4 Tax=Riverside virus 1  RepID=A0A140D049_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Ohlsrhavirus riverside	Negarnaviricota
JAOEFI01_EVE003	high	100	viral (21)	VDB (13), UDB Viruses (8)	JAOEFI010013587.1_107-519:+	4.51e-19	31.5	putative replicase [Circoviridae sp.] acc=AXH74089.1 	putative replicase [Circoviridae sp.] acc=AXH74089.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__unclassified Circoviridae genus;s__Circoviridae sp.	Cressdnaviricota
JAOEFI01_EVE004	high	100	viral (4)	UDB Viruses (2), VDB (2)	JAOEFI010016613.1_4003-4872:+	4.569999999999999e-177	85.2	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	Pisuviricota
JAOEFI01_EVE005	high	100	viral (22)	VDB (20), UDB Viruses (2)	JAOEFI010017506.1_555-770:+	5.03e-19	51.4	polymerase [Vesiculovirus radi] acc=YP_009505541.1 	polymerase [Vesiculovirus radi] acc=YP_009505541.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Vesiculovirus;s__Vesiculovirus radi	Negarnaviricota
JAOEFI01_EVE006	high	100	viral (8)	VDB (5), UDB Viruses (3)	JAOEFI010019579.1_5-408:-	2.7000000000000002e-27	40.7	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Enontekio totivirus 5	Duplornaviricota
JAOEFI01_EVE007	high	96	viral (19), non-viral (1)	VDB (17), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	JAOEFI010000007.1_759009-760067:-	2.51e-142	60.9	RNA-dependent RNA polymerase [Drosophila biauraria male killing partitivirus 1] acc=BDH75793.1 	RNA-dependent RNA polymerase [Drosophila biauraria male killing partitivirus 1] acc=BDH75793.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	unclassified Viruses phylum
JAOEFI01_EVE008	high	95	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	JAOEFI010017506.1_775-932:+	4.02e-6	52.7	RNA-directed RNA polymerase L n=6 Tax=Rhabdoviridae  RepID=A0A3S8TMQ4_9RHAB	RNA-directed RNA polymerase L n=6 Tax=Rhabdoviridae  RepID=A0A3S8TMQ4_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota
JAOEFI01_EVE009	high	94	viral (6), maybe-viral (1)	VDB (4), UDB Viruses (2), uncharacterized protein (1)	JAOEFI010019872.1_585-1146:-	1.73e-44	47.9	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Enontekio totivirus 5	Duplornaviricota
JAOEFI01_EVE010	high	90	viral (4), maybe-viral (1)	UDB Viruses (2), VDB (2), uncharacterized protein (1)	JAOEFI010018042.1_550-1737:-	1.7e-214	75	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
