Main_genome	haplotype	similarity_pair	best_match	similarity_best_match
JABUIU01_EVE001	JABUIV01_EVE001	100	JABUIV01_EVE001	100
JABUIU01_EVE003 (reversed)	JABUIV01_EVE002..reversed.	100	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE004 (reversed)	JABUIV01_EVE003..reversed.	100	JABUIV01_EVE003..reversed.	100
JABUIU01_EVE061	JABUIV01_EVE006	100	JABUIV01_EVE006	100
JABUIU01_EVE058	JABUIV01_EVE005	99.902	JABUIV01_EVE005	99.902
JABUIU01_EVE057	JABUIV01_EVE004	99.8148	JABUIV01_EVE004	99.8148
JABUIU01_EVE005 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE007 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE008 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE009 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE010 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE011 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE012 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE013 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE014 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE015 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE016 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE017 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE018 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE019 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE020 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE021 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE022 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE023 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE024 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE025 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE026 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE027 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE028 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE029 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE030 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE031 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE032 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE033 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE034 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE035 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE036 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE037 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE038 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
JABUIU01_EVE039 (reversed)	NA	NA	JABUIV01_EVE002..reversed.	100
