eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADFTP01_EVE001	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADFTP010000001.1_12860674-12860877:-	4.5e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADFTP01_EVE002	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADFTP010000001.1_12864058-12864261:-	4.5e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADFTP01_EVE003	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADFTP010000001.1_12865151-12865354:-	4.5e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADFTP01_EVE004	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADFTP010000001.1_12866875-12867072:-	5.65e-17	50	polymerase PB2 [Jingshan Fly Virus 1] acc=APG77877.1 	polymerase PB2 [Jingshan Fly Virus 1] acc=APG77877.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Jingshan Fly Virus 1	Negarnaviricota
JADFTP01_EVE005	high	100	viral (8)	VDB (7), UDB Viruses (1)	JADFTP010000002.1_100983608-100983794:+	6.57e-14	59.7	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JADFTP01_EVE006	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADFTP010000002.1_68275253-68276693:-	5.32e-205	62.7	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADFTP01_EVE007	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	JADFTP010000001.1_11647144-11647284:+	2.79e-18	63.8	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JADFTP01_EVE008	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADFTP010000001.1_12854536-12854739:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADFTP01_EVE009	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADFTP010000001.1_12855109-12855312:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADFTP01_EVE010	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADFTP010000001.1_12855681-12855884:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
