eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSEC01_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	CALSEC010000056.1_127919-130252:-	9.719999999999999e-161	33	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
CALSEC01_EVE002	high	100	viral (8)	VDB (6), UDB Viruses (2)	CALSEC010000059.1_40993-41792:-	2.4800000000000002e-33	32.1	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE003	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_41747-42273:-	2.1599999999999998e-24	33.3	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE004	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_42228-42758:-	5.33e-23	31.9	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE005	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_42713-43239:-	3.6599999999999995e-23	32.8	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE006	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_43227-43551:-	6.73e-18	36.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE007	high	100	viral (8)	VDB (6), UDB Viruses (2)	CALSEC010000059.1_45461-46260:-	2.4800000000000002e-33	32.1	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE008	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_46215-46741:-	2.1599999999999998e-24	33.3	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE009	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_46696-47222:-	3.6599999999999995e-23	32.8	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE010	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_47210-47534:-	6.73e-18	36.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE011	high	100	viral (8)	VDB (6), UDB Viruses (2)	CALSEC010000059.1_49444-50243:-	2.4800000000000002e-33	32.1	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE012	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSEC010000059.1_50231-50555:-	6.73e-18	36.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE013	high	100	viral (6)	VDB (4), UDB Viruses (2)	CALSEC010000059.1_52244-52872:-	8.89e-22	29.6	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
CALSEC01_EVE014	high	100	viral (6)	VDB (4), UDB Viruses (2)	CALSEC010000308.1_29065-29304:-	5.99e-22	57.5	capsid [Soufli partiti-like virus] acc=QRD99866.1 	capsid [Soufli partiti-like virus] acc=QRD99866.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Soufli partiti-like virus	Pisuviricota
CALSEC01_EVE015	high	97	viral (14), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1)	CALSEC010000018.1_781378-782376:+	7.59e-147	60.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE016	high	97	viral (14), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1)	CALSEC010000018.1_785157-786155:+	3.07e-146	60.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE017	high	97	viral (14), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1)	CALSEC010000018.1_788936-789934:+	7.59e-147	60.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE018	high	96	viral (13), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1)	CALSEC010000059.1_914847-915864:-	2.9199999999999997e-143	59.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE019	high	96	viral (10), maybe-viral (1)	VDB (7), UDB Viruses (3), uncharacterized protein (1)	CALSEC010000164.1_3874-4650:-	2.7099999999999996e-103	56.5	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	unclassified Viruses phylum
CALSEC01_EVE020	high	95	viral (11), maybe-viral (1)	VDB (7), UDB Viruses (4), uncharacterized protein (1)	CALSEC010000018.1_940979-942066:+	6.01e-154	63.6	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE021	high	94	viral (14), maybe-viral (2)	VDB (9), UDB Viruses (5), uncharacterized protein (2)	CALSEC010000018.1_774550-775470:+	1.3099999999999999e-135	61.4	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE022	high	94	viral (14), maybe-viral (2)	VDB (9), UDB Viruses (5), uncharacterized protein (2)	CALSEC010000018.1_777948-778868:+	1.3099999999999999e-135	61.4	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEC01_EVE023	high	86	viral (8), maybe-viral (2)	VDB (5), UDB Viruses (3), uncharacterized protein (2)	CALSEC010000164.1_211637-211984:-	6e-24	41.2	putative capsid protein [Murri virus] acc=QHA33713.1 	putative capsid protein [Murri virus] acc=QHA33713.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Murri virus	Duplornaviricota
CALSEC01_EVE024	high	72	viral (2), maybe-viral (1)	VDB (2), uncharacterized protein (1)	CALSEC010000164.1_212380-213483:-	7.74e-33	33.8	uncharacterized protein LOC125767456 n=1 Tax=Anopheles funestus  RepID=UPI0020C7324A	putative capsid protein [Enontekio totivirus 5] acc=UUV42207.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Enontekio totivirus 5	Duplornaviricota
CALSEC01_EVE025	high	60	maybe-viral (7), viral (5), non-viral (1)	uncharacterized protein (7), VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	CALSEC010000212.1_638829-639977:-	3.7199999999999996e-57	34.3	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	hypothetical protein [Partitiviridae sp.] acc=QYW05753.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Arthropoda
CALSEC01_EVE026	high	60	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSEC010000339.1_12056-12162:+	5.72e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSEC01_EVE027	high	60	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSEC010000339.1_19847-19953:+	5.72e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSEC01_EVE028	high	60	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSEC010000339.1_35179-35285:+	5.72e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
CALSEC01_EVE029	high	60	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	CALSEC010000339.1_3716-3822:+	5.72e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
