organism_an	sample	EVE_count
Anopheles albimanus	APCK01	17
Anopheles albimanus	JABUIU01	65
Anopheles albimanus	JABUIV01	6
Anopheles albimanus	JADGIR01	17
Anopheles aquasalis	CALSEH02	180
Anopheles aquasalis	GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic	47
Anopheles aquasalis	NJHH01	27
Anopheles arabiensis	APCN01	22
Anopheles arabiensis	CAWUOX01	15
Anopheles arabiensis	GCA_963924065.2_idAnoArabHR-G3.2_genomic	31
Anopheles arabiensis	JADFTQ01	29
Anopheles atroparvus	AXCP01	45
Anopheles atroparvus	CAJZCY01	86
Anopheles atroparvus	CALTRM01	33
Anopheles atroparvus	JADGIQ01	41
Anopheles bellator	GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic	67
Anopheles bwambae	SIXB01	41
Anopheles christyi	APCM01	9
Anopheles coluzzii	ABKP02	24
Anopheles coluzzii	CALSEE01	9
Anopheles coluzzii	GCF_943734685.1_AcolN3_genomic	38
Anopheles coluzzii	JADFFJ01	39
Anopheles coluzzii	JADFTP01	55
Anopheles coluzzii	JADQCV01	40
Anopheles coluzzii	JADQCW01	38
Anopheles coluzzii	JADQCX01	106
Anopheles coluzzii	JADQCY01	30
Anopheles coluzzii	JADQCZ01	40
Anopheles coluzzii	JADQDA01	70
Anopheles coluzzii	RWKB01_1	45
Anopheles coluzzii	RWKB01_2	9
Anopheles coustani	CALSDW01	131
Anopheles coustani	GCF_943734705.1_idAnoCousDA_361_x.2_genomic	547
Anopheles cracens	LULB01	163
Anopheles cruzii	GCF_943734635.1_idAnoCruzAS_RS32_06_genomic	63
Anopheles culicifacies	AXCM01	9
Anopheles darlingi	ADMH02	4
Anopheles darlingi	CALSEC01	56
Anopheles darlingi	GCF_943734745.1_idAnoDarlMG_H_01_genomic	269
Anopheles darlingi	JBCDWH01	240
Anopheles dirus	APCL01	74
Anopheles epiroticus	APCJ01	64
Anopheles farauti	AXCN02	45
Anopheles farauti	JXWZ01	29
Anopheles farauti	JXXC01	12
Anopheles fontenillei	VTWG01	29
Anopheles funestus	APCI01	71
Anopheles funestus	CALSDO01	515
Anopheles funestus	CAWUOS01	402
Anopheles funestus	GCA_964033645.1_idAnoFune21.1_genomic	98
Anopheles funestus	GCF_943734845.2_idAnoFuneDA-416_04_genomic	801
Anopheles funestus	RCWQ01	389
Anopheles funestus-like sensu Spillings et al. (2009)	STHE01	55
Anopheles gambiae	AAAB01	312
Anopheles gambiae	ABKQ02	34
Anopheles gambiae	CALSDS01	37
Anopheles gambiae	GCF_943734735.2_idAnoGambNW_F1_1_genomic	39
Anopheles gambiae	JAVFHU01	38
Anopheles gambiae	JXPR01	22
Anopheles gambiae	LCWJ01	68
Anopheles koliensis	JXXB01	20
Anopheles longipalpis	STHD01	130
Anopheles maculatus	AXCL01	51
Anopheles maculatus	LULA01	280
Anopheles maculipalpis	CALSEK01	51
Anopheles maculipalpis	GCF_943734695.1_idAnoMacuDA_375_x_genomic	63
Anopheles marshallii	CALSEI01	241
Anopheles marshallii	GCF_943734725.1_idAnoMarsDA_429_01_genomic	545
Anopheles melas	AXCO02	17
Anopheles merus	AXCQ02	20
Anopheles merus	JADFFO01	62
Anopheles minimus	APHL01	43
Anopheles moucheti	CALSED01	385
Anopheles moucheti	GCF_943734755.1_idAnoMoucSN_F20_07_genomic	867
Anopheles nili	ATLZ01	29
Anopheles nili	CALSFZ01	36
Anopheles nili	GCF_943737925.1_idAnoNiliSN_F5_01_genomic	54
Anopheles parensis	STHC01	78
Anopheles plumbeus	JAOEFI01	22
Anopheles punctulatus	JXXA01	22
Anopheles quadriannulatus	APCH01	23
Anopheles rivulorum	STHB01	93
Anopheles sinensis	ATLV01	40
Anopheles sinensis	AXCK02	29
Anopheles stephensi	ALPR02	34
Anopheles stephensi	APCG01	24
Anopheles stephensi	JABEOT01	54
Anopheles stephensi	JADFFN01	32
Anopheles stephensi	JAIQDY01	39
Anopheles stephensi	JALIHK01	24
Anopheles vaneedeni	STHA01	152
Anopheles ziemanni	CALSEF01	240
Anopheles ziemanni	GCF_943734765.1_idAnoZiCoDA_A2_x.2_genomic	547
