eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSDO01_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	CALSDO010000001.1_1233551-1233832:+	4.27e-9	32.3	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
CALSDO01_EVE002	high	100	viral (21)	VDB (15), UDB Viruses (6)	CALSDO010000005.1_223617-225213:-	1.0199999999999998e-196	56.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
CALSDO01_EVE003	high	100	viral (21)	VDB (15), UDB Viruses (6)	CALSDO010000005.1_226458-229687:-	0	67.3	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
CALSDO01_EVE004	high	100	viral (3)	VDB (2), UDB Viruses (1)	CALSDO010000023.1_237665-238281:+	1.53e-62	51.2	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
CALSDO01_EVE005	high	100	viral (5)	VDB (3), UDB Viruses (2)	CALSDO010000031.1_14587-15490:+	8.4e-27	32.2	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
CALSDO01_EVE006	high	100	viral (17)	VDB (10), UDB Viruses (7)	CALSDO010000031.1_18966-20563:+	8.29e-276	72.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSDO01_EVE007	high	100	viral (5)	VDB (3), UDB Viruses (2)	CALSDO010000031.1_23524-24400:+	1.32e-26	32.2	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
CALSDO01_EVE008	high	100	viral (15)	VDB (9), UDB Viruses (6)	CALSDO010000031.1_27876-29473:+	8.29e-276	72.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSDO01_EVE009	high	100	viral (5)	VDB (3), UDB Viruses (2)	CALSDO010000031.1_32654-33564:+	6.4299999999999994e-31	32.2	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
CALSDO01_EVE010	high	100	viral (5)	VDB (3), UDB Viruses (2)	CALSDO010000031.1_5395-6298:+	1.61e-26	32.2	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
CALSDO01_EVE011	high	100	viral (18)	VDB (11), UDB Viruses (7)	CALSDO010000031.1_601-2214:+	1.4199999999999998e-287	73.2	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSDO01_EVE012	high	100	viral (18)	VDB (11), UDB Viruses (7)	CALSDO010000031.1_9774-11406:+	1.0199999999999998e-286	73.4	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSDO01_EVE013	high	100	viral (6)	VDB (5), UDB Viruses (1)	CALSDO010000050.1_2204772-2204960:+	1.38e-14	46	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
CALSDO01_EVE014	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSDO010000050.1_2403889-2404302:+	2.4e-15	33.1	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
CALSDO01_EVE015	high	100	viral (2)	VDB (2)	CALSDO010000050.1_3178403-3178690:-	6e-10	34.4	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Chrysoviridae;g__Alphachrysovirus;s__Lestijarvi alphachrysovirus	Duplornaviricota
CALSDO01_EVE016	high	100	viral (9)	VDB (5), UDB Viruses (4)	CALSDO010000056.1_1-992:-	1.16e-156	68.1	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSDO01_EVE017	high	100	viral (20)	VDB (12), UDB Viruses (8)	CALSDO010000056.1_15867-16827:-	5.329999999999999e-164	71.4	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSDO01_EVE018	high	100	viral (20)	VDB (11), UDB Viruses (9)	CALSDO010000056.1_20151-20806:-	1.22e-105	75.8	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
