eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
SIXB01_EVE001	high	100	viral (9)	VDB (8), UDB Viruses (1)	SIXB01000680.1_47220-47578:-	3.63e-18	47.4	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
SIXB01_EVE002	high	100	viral (22)	VDB (17), UDB Viruses (5)	SIXB01003095.1_17382-18896:+	6.2e-221	62	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
SIXB01_EVE003	high	100	viral (26)	VDB (14), UDB Viruses (12)	SIXB01003095.1_19209-19793:+	1.16e-52	46.9	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
SIXB01_EVE004	high	100	viral (15)	VDB (9), UDB Viruses (6)	SIXB01010643.1_1716-3125:-	3.5899999999999996e-218	64	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
SIXB01_EVE005	high	100	viral (15)	VDB (9), UDB Viruses (6)	SIXB01011469.1_1668-3088:-	1.8399999999999997e-225	65.3	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
SIXB01_EVE006	high	100	viral (10)	VDB (6), UDB Viruses (4)	SIXB01027194.1_196-406:-	8.86e-37	89.9	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__unclassified Flaviviridae species	Kitrinoviricota
SIXB01_EVE007	high	100	viral (20)	VDB (13), UDB Viruses (7)	SIXB01027194.1_411-962:-	4.409999999999999e-119	94	polyprotein [Anopheles flavivirus-like 2] acc=AOR51363.1 	polyprotein [Anopheles flavivirus-like 2] acc=AOR51363.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Anopheles flavivirus-like 2	Kitrinoviricota
SIXB01_EVE008	high	96	viral (20), non-viral (1)	VDB (15), UDB Viruses (5), annotated protein of Eukaryota (1)	SIXB01002387.1_1595-2836:-	4.08e-84	36.3	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
SIXB01_EVE009	high	96	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	SIXB01003095.1_20354-22181:+	2.16e-149	41.5	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
SIXB01_EVE010	high	95	viral (20), non-viral (1)	VDB (13), UDB Viruses (7), annotated protein of Eukaryota (1)	SIXB01004624.1_16393-16620:+	1.49e-18	48.7	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
SIXB01_EVE011	high	95	viral (19), non-viral (1)	UDB Viruses (13), capsid (5), annotated protein of unclassified root superkingdom (1), VDB (1)	SIXB01019861.1_637-2145:+	4.549999999999999e-173	51.2	Major capsid protein n=5 Tax=root  RepID=A0A943JT30_9FUSO	Major capsid protein n=3 Tax=Microviridae sp.  RepID=A0A385E533_9VIRU	k__Viruses;K__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__unclassified Microviridae genus;s__Microviridae sp.	Phixviricota
SIXB01_EVE012	high	91	viral (18), maybe-viral (2)	UDB Viruses (17), hypothetical protein (2), capsid (1)	SIXB01023622.1_80-364:-	2.59e-32	62.1	VP2 n=1 Tax=Gokushovirus WZ-2015a  RepID=A0A1L2BLB6_9VIRU	VP2 n=1 Tax=Gokushovirus WZ-2015a  RepID=A0A1L2BLB6_9VIRU	k__Viruses;K__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__unclassified Microviridae genus;s__Gokushovirus WZ-2015a	Phixviricota
SIXB01_EVE013	high	86	viral (14), maybe-viral (2)	VDB (9), UDB Viruses (5), uncharacterized protein (2)	SIXB01003095.1_10090-10572:+	4.86e-33	82.4	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
SIXB01_EVE014	high	86	viral (15), maybe-viral (2)	VDB (10), UDB Viruses (5), uncharacterized protein (2)	SIXB01003783.1_13440-13922:+	2.43e-33	55	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
SIXB01_EVE015	high	85	viral (13), maybe-viral (2)	VDB (8), UDB Viruses (5), uncharacterized protein (2)	SIXB01003095.1_11427-11909:+	4.86e-33	82.4	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
SIXB01_EVE016	high	85	viral (12), maybe-viral (2)	VDB (7), UDB Viruses (5), uncharacterized protein (2)	SIXB01003783.1_14777-15274:+	2.3199999999999997e-32	54.3	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
SIXB01_EVE017	high	69	non-viral (1), viral (1)	annotated protein of Bacteria (1), UDB Viruses (1)	SIXB01023622.1_820-1557:-	7.23e-136	72.7	VP4 n=1 Tax=Gokushovirus WZ-2015a  RepID=A0A1L2BL95_9VIRU	VP4 n=1 Tax=Gokushovirus WZ-2015a  RepID=A0A1L2BL95_9VIRU	k__Viruses;K__Sangervirae;p__Phixviricota;c__Malgrandaviricetes;o__Petitvirales;f__Microviridae;g__unclassified Microviridae genus;s__Gokushovirus WZ-2015a	Fusobacteriota
SIXB01_EVE018	high	67	viral (5), maybe-viral (3)	VDB (4), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	SIXB01003783.1_18578-18712:+	6.85e-8	48.9	Uncharacterized protein n=1 Tax=Papilio machaon  RepID=A0A194RE43_PAPMA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
SIXB01_EVE019	high	59	viral (11), maybe-viral (5), non-viral (4)	viral (11), uncharacterized protein (5), annotated protein of Eukaryota (4)	SIXB01000706.1_10669-10821:-	6.31e-32	94.1	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
