eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
STHB01_EVE001	high	100	viral (23)	VDB (15), UDB Viruses (8)	STHB01000002.1_32821425-32822684:+	5.4399999999999996e-83	36.1	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
STHB01_EVE002	high	100	viral (11)	VDB (8), UDB Viruses (3)	STHB01000004.1_23645856-23646099:-	4.13e-13	52.3	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
STHB01_EVE003	high	100	viral (8)	VDB (5), UDB Viruses (3)	STHB01000006.1_1302725-1303723:-	1.11e-32	31.1	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
STHB01_EVE004	high	100	viral (20)	VDB (15), UDB Viruses (5)	STHB01000007.1_423307-424014:+	4.56e-58	46.1	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
STHB01_EVE005	high	100	viral (10)	VDB (8), UDB Viruses (2)	STHB01000013.1_5079679-5079895:+	9.78e-15	53	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
STHB01_EVE006	high	100	viral (20)	VDB (13), UDB Viruses (7)	STHB01001204.1_5707-6409:-	8.379999999999999e-103	68.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
STHB01_EVE007	high	100	viral (22)	VDB (17), UDB Viruses (5)	STHB01001950.1_2515-3024:-	4.19e-25	34.8	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
STHB01_EVE008	high	100	viral (21)	VDB (15), UDB Viruses (6)	STHB01001950.1_3-2075:-	0	66.4	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
STHB01_EVE009	high	100	viral (21)	VDB (16), UDB Viruses (5)	STHB01004701.1_3169-4040:+	5.699999999999999e-163	77.8	RdRp [Partitivirus-like 2] acc=AOR51389.1 	RdRp [Partitivirus-like 2] acc=AOR51389.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitivirus-like 2	unclassified Viruses phylum
STHB01_EVE010	high	100	viral (21)	VDB (14), UDB Viruses (7)	STHB01006460.1_2079-3502:+	1.66e-127	45.4	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
