eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADQCV01_EVE001	high	100	viral (10)	VDB (8), UDB Viruses (2)	JADQCV010000001.1_30856692-30857085:-	1.32e-20	46.6	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JADQCV01_EVE002	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQCV010000005.1_12256577-12256822:-	3.13e-17	46.3	polymerase PB2 [Beijing sediment orthomyxo-like virus] acc=UMO75707.1 	polymerase PB2 [Beijing sediment orthomyxo-like virus] acc=UMO75707.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Beijing sediment orthomyxo-like virus	Negarnaviricota
JADQCV01_EVE003	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQCV010000005.1_12257174-12257350:-	9.51e-16	52.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCV01_EVE004	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCV010000005.1_12258894-12259058:-	2.58e-17	65.4	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQCV01_EVE005	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCV010000005.1_6225493-6227006:+	1.14e-217	64	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADQCV01_EVE006	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	JADQCV010000005.1_11027994-11028134:+	1.69e-19	66	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JADQCV01_EVE007	high	95	viral (22), maybe-viral (1)	VDB (17), UDB Viruses (5), uncharacterized protein (1)	JADQCV010000005.1_11023563-11023917:+	1.5199999999999998e-23	43.2	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JADQCV01_EVE008	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCV010000005.1_12257748-12257951:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCV01_EVE009	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCV010000005.1_12258321-12258524:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCV01_EVE010	high	95	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCV010000005.1_12259458-12259689:-	4.24e-16	54.2	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
