eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADQDA01_EVE001	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000001.1_18961791-18963200:-	8.91e-149	59.5	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADQDA01_EVE002	high	100	viral (9)	VDB (8), UDB Viruses (1)	JADQDA010000001.1_33569879-33570272:-	3.9e-18	44.3	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JADQDA01_EVE003	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000002.1_63601933-63603432:-	3e-205	64.1	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADQDA01_EVE004	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_11349261-11350782:-	5.329999999999999e-215	63.7	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADQDA01_EVE005	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_13155200-13155364:-	2.58e-17	65.4	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQDA01_EVE006	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_13157489-13157653:-	2.58e-17	65.4	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQDA01_EVE007	high	100	viral (21)	VDB (14), UDB Viruses (7)	JADQDA010000005.1_13158626-13158805:-	5.75e-14	53.3	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Yunnan sediment orthomyxo-like virus	Negarnaviricota
JADQDA01_EVE008	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_13159199-13159430:-	5.79e-16	49.4	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Yunnan sediment orthomyxo-like virus	Negarnaviricota
JADQDA01_EVE009	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_13159780-13159943:-	3.25e-14	63.5	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQDA01_EVE010	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQDA010000005.1_13160353-13160528:-	1.2e-12	50.8	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQDA01_EVE011	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQDA010000005.1_13161498-13161702:-	1.39e-15	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQDA01_EVE012	high	100	viral (21)	VDB (15), UDB Viruses (6)	JADQDA010000005.1_13162071-13162275:-	1.39e-15	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQDA01_EVE013	high	100	viral (21)	VDB (14), UDB Viruses (7)	JADQDA010000005.1_13163216-13163380:-	1.68e-16	63.5	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQDA01_EVE014	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_13163790-13163954:-	1.23e-16	63.5	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQDA01_EVE015	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_13164364-13164528:-	2.58e-17	65.4	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
JADQDA01_EVE016	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQDA010000005.1_27602032-27603525:-	1.2399999999999998e-210	65.5	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
JADQDA01_EVE017	high	96	viral (19), non-viral (1)	VDB (12), UDB Viruses (7), annotated protein of Eukaryota (1)	JADQDA010000004.1_31743831-31745297:-	3.82e-140	60.7	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
JADQDA01_EVE018	high	96	viral (22), maybe-viral (1)	VDB (13), UDB Viruses (8), glycoprotein protein (1), virus (1)	JADQDA010000005.1_11851520-11851660:+	1.33e-17	63.8	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JADQDA01_EVE019	high	96	viral (22), non-viral (1)	VDB (15), UDB Viruses (7), annotated protein of Eukaryota (1)	JADQDA010000005.1_13162634-13162864:-	1.87e-17	48.1	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	polymerase PB2 [Yunnan sediment orthomyxo-like virus] acc=UMO75730.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Yunnan sediment orthomyxo-like virus	Negarnaviricota
JADQDA01_EVE020	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQDA010000005.1_13155773-13155976:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
