eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JXWZ01_EVE001	high	100	viral (7)	VDB (4), UDB Viruses (3)	JXWZ01000027.1_101-586:+	9.19e-83	77.5	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
JXWZ01_EVE002	high	100	viral (4)	VDB (3), UDB Viruses (1)	JXWZ01000097.1_642-842:-	1.68e-9	38.8	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Pisuviricota
JXWZ01_EVE003	high	100	viral (20)	VDB (13), UDB Viruses (7)	JXWZ01000216.1_233-994:-	1.08e-141	79.5	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
JXWZ01_EVE004	high	100	viral (21)	VDB (17), UDB Viruses (4)	JXWZ01000647.1_1817-4545:-	0	71.6	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
JXWZ01_EVE005	high	100	viral (1)	VDB (1)	JXWZ01000689.1_1969-2400:+	2.17e-6	25.3	hypothetical protein 2 [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42606.1 	hypothetical protein 2 [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42606.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Guadeloupe mosquito quaranja-like virus 1	Negarnaviricota
JXWZ01_EVE006	high	100	viral (4)	UDB Viruses (2), VDB (2)	JXWZ01001421.1_168-623:-	3.03e-13	29.6	putative nucleoprotein [Gambie virus] acc=AOR51381.1 	putative nucleoprotein [Gambie virus] acc=AOR51381.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
JXWZ01_EVE007	high	100	viral (11)	VDB (6), UDB Viruses (5)	JXWZ01002321.1_3-791:+	1.2299999999999999e-40	32.1	Putative nucleoprotein n=2 Tax=Riboviria  RepID=A0A1C9U5D9_9MONO	Putative nucleoprotein n=2 Tax=Riboviria  RepID=A0A1C9U5D9_9MONO	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Negarnaviricota
JXWZ01_EVE008	high	100	viral (1)	VDB (1)	JXWZ01003805.1_2587-2944:+	4.9e-24	50.4	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXWZ01_EVE009	high	100	viral (1)	VDB (1)	JXWZ01003805.1_2949-3421:+	1.6299999999999998e-31	41.5	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXWZ01_EVE010	high	100	viral (4)	VDB (3), UDB Viruses (1)	JXWZ01004278.1_32469-32766:+	1.29e-22	47.6	RdRp [Pisingos virus] acc=QHA33722.1 	RdRp [Pisingos virus] acc=QHA33722.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Pisingos virus	Duplornaviricota
