eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AXCM01_EVE001	high	100	viral (11)	VDB (8), UDB Viruses (3)	AXCM01000396.1_10546-11065:+	2.15e-28	39.3	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
AXCM01_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCM01013998.1_3857-4075:-	2.99e-12	45.2	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
AXCM01_EVE003	high	100	viral (11)	VDB (8), UDB Viruses (3)	AXCM01017447.1_3689-4044:+	2.65e-13	38.5	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
AXCM01_EVE004	high	93	viral (13), maybe-viral (1)	VDB (7), UDB Viruses (6), uncharacterized protein (1)	AXCM01010637.1_2434-3621:+	1.96e-69	37.1	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
AXCM01_EVE005	high	86	viral (5), maybe-viral (1)	VDB (4), UDB Viruses (1), uncharacterized protein (1)	AXCM01021505.1_782-1012:-	1.07e-7	35.4	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
AXCM01_EVE006	high	76	viral (14), maybe-viral (5)	VDB (8), UDB Viruses (6), uncharacterized protein (4), hypothetical protein (1)	AXCM01020534.1_1361-1847:-	3.99e-45	100	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182M155_9DIPT	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
AXCM01_EVE007	high	51	viral (9), maybe-viral (6), non-viral (5)	viral (9), uncharacterized protein (6), annotated protein of Eukaryota (5)	AXCM01000185.1_28888-29064:+	1.2899999999999999e-38	96.6	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
AXCM01_EVE008	high	49	non-viral (1), viral (1)	annotated protein of Eukaryota (1), VDB (1)	AXCM01018272.1_590-1121:+	6.56e-7	69.4	Voltage-dependent T-type calcium channel subunit alpha-1G (Fragment) n=3 Tax=Anthophila  RepID=A0A154P5Z0_DUFNO	1ab polyprotein [Infectious bronchitis virus] acc=QKG30339.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Nidovirales;f__Coronaviridae;g__Gammacoronavirus;s__Avian coronavirus	Arthropoda
AXCM01_EVE009	high	46	maybe-viral (10), viral (8), non-viral (3)	uncharacterized protein (6), UDB Viruses (4), VDB (4), annotated protein of Eukaryota (3), glycoprotein protein (2), polyprotein protein (2)	AXCM01018453.1_562-666:-	4.49e-16	88.6	uncharacterized protein LOC118515208 n=1 Tax=Anopheles stephensi  RepID=UPI001658BC87	glycoprotein [Mos8Chu0 chuvirus] acc=API61888.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__Doliuvirus;s__Doliuvirus culisetae	Arthropoda
AXCM01_EVE010	high	39	non-viral (10), viral (9), false-viral (1)	annotated protein of Eukaryota (10), viral (9), ubiquitin (1)	AXCM01000655.1_39009-39248:+	1.6299999999999999e-52	97.5	UBC core domain-containing protein n=4 Tax=Culicidae  RepID=A0A182SYF5_9DIPT	NA	NA	Arthropoda
