eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AAAB01_EVE001	high	100	viral (9)	VDB (8), UDB Viruses (1)	AAAB01008960.1_13524120-13524513:-	2.79e-18	45.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
AAAB01_EVE002	high	100	viral (20)	VDB (13), UDB Viruses (7)	AAAB01014198.1_1097-1210:-	5.07e-16	73.7	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AAAB01_EVE003	high	100	viral (20)	VDB (13), UDB Viruses (7)	AAAB01017167.1_315-849:-	2.5e-83	74.2	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AAAB01_EVE004	high	100	viral (20)	VDB (12), UDB Viruses (8)	AAAB01030827.1_1-1063:-	8.84e-155	69.2	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AAAB01_EVE005	high	100	viral (20)	VDB (12), UDB Viruses (8)	AAAB01044870.1_11-808:-	2.12e-135	75.3	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AAAB01_EVE006	high	100	viral (21)	VDB (13), UDB Viruses (8)	AAAB01045808.1_645-962:-	1.8099999999999998e-56	79.2	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AAAB01_EVE007	high	100	viral (20)	VDB (13), UDB Viruses (7)	AAAB01046379.1_55-1202:+	1.6399999999999998e-143	60.1	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
AAAB01_EVE008	high	100	viral (21)	VDB (13), UDB Viruses (8)	AAAB01053751.1_3-518:+	3.54e-92	79.7	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AAAB01_EVE009	high	100	viral (21)	VDB (14), UDB Viruses (7)	AAAB01061716.1_215-418:+	3.29e-17	54.4	PB2 [Byreska virus] acc=UQS95354.1 	PB2 [Byreska virus] acc=UQS95354.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Byreska virus	Negarnaviricota
AAAB01_EVE010	high	100	viral (20)	VDB (13), UDB Viruses (7)	AAAB01062454.1_3-720:-	2.2399999999999995e-101	69.7	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
