eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSEI01_EVE001	high	100	viral (8)	VDB (7), UDB Viruses (1)	CALSEI010000013.1_1065688-1065810:-	3.2e-11	65.9	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSEI01_EVE002	high	100	viral (9)	VDB (7), UDB Viruses (2)	CALSEI010000039.1_2187501-2187689:-	1.62e-10	48.5	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
CALSEI01_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSEI010000054.1_8309-8617:-	5.29e-12	26.9	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
CALSEI01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSEI010000072.1_910438-910746:-	5.29e-12	26.9	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
CALSEI01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSEI010000082.1_270670-271197:-	3.52e-25	33.7	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
CALSEI01_EVE006	high	97	viral (21), maybe-viral (1)	VDB (14), UDB Viruses (7), uncharacterized protein (1)	CALSEI010000082.1_269934-270395:-	4.8600000000000005e-58	60.4	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
CALSEI01_EVE007	high	97	viral (12), maybe-viral (1)	VDB (9), UDB Viruses (2), capsid (1), uncharacterized protein (1)	CALSEI010000086.1_35228-38035:+	0	75.7	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Australian Anopheles totivirus	Duplornaviricota
CALSEI01_EVE008	high	95	viral (20), maybe-viral (1)	VDB (11), UDB Viruses (8), glycoprotein protein (1), virus (1)	CALSEI010000003.1_287729-287932:+	4.3e-17	58	Putative glycoprotein (Fragment) n=8 Tax=root  RepID=A0A2M3ZZJ6_9DIPT	glycoprotein precursor [Anopheles triannulatus orthophasmavirus] acc=YP_010086190.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
CALSEI01_EVE009	high	95	viral (9), maybe-viral (1)	VDB (6), UDB Viruses (3), uncharacterized protein (1)	CALSEI010000122.1_376335-377131:-	8.69e-81	47.4	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
CALSEI01_EVE010	high	94	viral (21), non-viral (1)	VDB (14), UDB Viruses (7), annotated protein of Eukaryota (1)	CALSEI010000073.1_1729534-1730712:+	2.4e-58	32.7	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	nucleocapsid [Evros rhabdovirus 2] acc=QSL99564.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
