eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
APCI01_EVE001	high	100	viral (3)	VDB (3)	APCI01000833.1_289-576:+	6e-10	34.4	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Chrysoviridae;g__Alphachrysovirus;s__Lestijarvi alphachrysovirus	Duplornaviricota
APCI01_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	APCI01000859.1_8883-9155:-	6.21e-16	39.6	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
APCI01_EVE003	high	100	viral (20)	VDB (12), UDB Viruses (8)	APCI01006371.1_76202-77446:+	2.0199999999999998e-213	73	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
APCI01_EVE004	high	100	viral (3)	VDB (2), UDB Viruses (1)	APCI01007491.1_7621-8826:+	4.719999999999999e-144	54.4	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
APCI01_EVE005	high	100	viral (1)	VDB (1)	APCI01007722.1_506-745:+	1.57e-6	38.3	putative E4 protein [Chelonia mydas papillomavirus 1] acc=QJX58437.1 	putative E4 protein [Chelonia mydas papillomavirus 1] acc=QJX58437.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Papovaviricetes;o__Zurhausenvirales;f__Papillomaviridae;g__Dyozetapapillomavirus;s__Dyozetapapillomavirus 1	Cossaviricota
APCI01_EVE006	high	100	viral (20)	VDB (15), UDB Viruses (5)	APCI01007837.1_508-4684:-	0	65	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
APCI01_EVE007	high	100	viral (6)	VDB (5), UDB Viruses (1)	APCI01007999.1_2765-2953:+	3.95e-15	47.6	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
APCI01_EVE008	high	100	viral (7)	VDB (5), UDB Viruses (2)	APCI01008214.1_2734-2898:-	2.67e-12	60	hypothetical protein 2 [Hubei sobemo-like virus 29] acc=YP_009330084.1 	hypothetical protein 2 [Hubei sobemo-like virus 29] acc=YP_009330084.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei sobemo-like virus 29	unclassified Viruses phylum
APCI01_EVE009	high	100	viral (8)	UDB Viruses (4), VDB (4)	APCI01008501.1_874-1446:-	2.37e-43	41.9	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
APCI01_EVE010	high	100	viral (3)	VDB (2), UDB Viruses (1)	APCI01008930.1_1316-1417:-	5.4e-10	73.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
