eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ADMH02_EVE001	high	100	viral (4)	VDB (3), UDB Viruses (1)	ADMH02000092.1_336-737:-	1.76e-19	37.5	nonstructural protein [Fako virus] acc=YP_009104381.1 	nonstructural protein [Fako virus] acc=YP_009104381.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Dinovernavirus;s__Fako virus	Duplornaviricota
ADMH02_EVE002	high	96	viral (13), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1)	ADMH02000139.1_2672-3724:+	1.5799999999999997e-158	62	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
ADMH02_EVE003	high	60	maybe-viral (7), viral (5), non-viral (1)	uncharacterized protein (7), VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	ADMH02002198.1_10979-12128:-	1.18e-54	34.8	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	hypothetical protein [Partitiviridae sp.] acc=QYW05753.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Arthropoda
ADMH02_EVE004	high	60	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ADMH02002220.1_4070-4176:+	5.72e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
ADMH02_EVE005	high	50	viral (9), non-viral (6), maybe-viral (5)	viral (9), annotated protein of Eukaryota (6), uncharacterized protein (5)	ADMH02001866.1_601224-601499:-	2.5299999999999997e-38	65.2	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
ADMH02_EVE006	high	39	non-viral (10), viral (9), false-viral (1)	annotated protein of Eukaryota (10), viral (9), ubiquitin (1)	ADMH02002037.1_67778-68017:+	3.44e-53	98.8	UBC core domain-containing protein n=4 Tax=Culicidae  RepID=A0A182SYF5_9DIPT	NA	NA	Arthropoda
ADMH02_EVE007	high	32	non-viral (15), viral (8)	annotated protein of Eukaryota (14), VDB (4), UDB Viruses (2), viral (2), annotated protein of unclassified root superkingdom (1)	ADMH02000578.1_66093-66456:-	8.58e-60	72.9	RING-type domain-containing protein n=8 Tax=Nyssorhynchus  RepID=A0A8W7K907_ANOAL	inhibitor of apoptosis 3 [Choristoneura fumiferana multiple nucleopolyhedrovirus] acc=NP_848342.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__Alphabaculovirus chofumiferanae	Arthropoda
ADMH02_EVE008	low	29	maybe-viral (7), non-viral (6), viral (6), false-viral (1)	uncharacterized protein (7), annotated protein of Eukaryota (5), viral (4), annotated protein of Bacteria (1), ubiquitin (1), UDB Viruses (1), VDB (1)	ADMH02001414.1_115803-116027:-	6.829999999999999e-52	98.6	Putative inhibitor of apoptosis domain protein (Fragment) n=1 Tax=Anopheles darlingi  RepID=A0A2M4CLJ1_ANODA	IAP-3 n=9 Tax=Alphabaculovirus  RepID=Q8QL95_9ABAC	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__unclassified Alphabaculovirus species	Mollusca
ADMH02_EVE009	low	26	non-viral (15), viral (5)	annotated protein of Eukaryota (15), envelope (5)	ADMH02001746.1_162237-163010:-	2.35e-115	70	CTD nuclear envelope phosphatase 1 homolog n=171 Tax=Eumetazoa  RepID=CNEP1_DROPS	NA	NA	unclassified Metazoa phylum
ADMH02_EVE010	low	23	maybe-viral (18), non-viral (1), viral (1)	uncharacterized protein (18), annotated protein of Eukaryota (1), VDB (1)	ADMH02002220.1_5381-5470:-	3.06e-9	90	Uncharacterized protein n=1 Tax=Eumeta variegata  RepID=A0A4C1WNS5_EUMVA	Sigma 2 [Phocid orthoreovirus 1] acc=QJE50384.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Orthoreovirus;s__Phocid orthoreovirus 1	Arthropoda
ADMH02_EVE011	low	22	non-viral (17), viral (5), maybe-viral (1)	annotated protein of Eukaryota (17), VDB (4), UDB Viruses (1), uncharacterized protein (1)	ADMH02000540.1_256646-256912:-	6.79e-38	64.8	RING-type domain-containing protein n=48 Tax=Cellia  RepID=A0A182MF22_9DIPT	IAP-3 n=1 Tax=Urbanus proteus nucleopolyhedrovirus  RepID=A0A162GUK6_9ABAC	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__Alphabaculovirus urprotei	Arthropoda
ADMH02_EVE012	low	18	maybe-viral (15), non-viral (4), viral (1)	uncharacterized protein (15), annotated protein of Eukaryota (4), virus (1)	ADMH02000350.1_90169-90738:-	1.7599999999999998e-128	97.4	Putative secreted peptide n=1 Tax=Anopheles braziliensis  RepID=A0A2M3ZTZ7_9DIPT	NA	NA	Arthropoda
ADMH02_EVE013	low	16	non-viral (15), viral (3), maybe-viral (2)	annotated protein of Eukaryota (15), viral (3), uncharacterized protein (2)	ADMH02000540.1_256988-257215:-	3.89e-26	64.8	uncharacterized protein LOC119683913 n=1 Tax=Teleopsis dalmanni  RepID=UPI0018CCA5BA	NA	NA	Arthropoda
