eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADQCY01_EVE001	high	100	viral (8)	VDB (7), UDB Viruses (1)	JADQCY010000001.1_30782852-30783245:-	9.89e-20	45.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JADQCY01_EVE002	high	100	viral (22)	VDB (14), UDB Viruses (8)	JADQCY010000005.1_12189509-12189662:-	8.16e-15	60.8	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCY01_EVE003	high	100	viral (20)	VDB (14), UDB Viruses (6)	JADQCY010000005.1_12190083-12190287:-	1.39e-15	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCY01_EVE004	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADQCY010000005.1_12190656-12190832:-	2e-16	54.2	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCY01_EVE005	high	100	viral (21)	VDB (14), UDB Viruses (7)	JADQCY010000005.1_21786546-21788037:+	1.2799999999999999e-216	65.1	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADQCY01_EVE006	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	JADQCY010000005.1_11120756-11120896:+	1.69e-19	66	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JADQCY01_EVE007	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCY010000005.1_12188937-12189140:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCY01_EVE008	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JADQCY010000005.1_12191232-12191435:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JADQCY01_EVE009	high	92	viral (9), maybe-viral (1)	VDB (7), UDB Viruses (2), uncharacterized protein (1)	JADQCY010000005.1_11117695-11117984:+	8.36e-13	32.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JADQCY01_EVE010	high	75	viral (6), maybe-viral (2)	VDB (4), UDB Viruses (2), uncharacterized protein (2)	JADQCY010000003.1_20641030-20641422:-	1.9700000000000002e-29	52	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JADQCY01_EVE011	high	73	viral (7), maybe-viral (3)	VDB (6), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	JADQCY010000003.1_20624295-20624460:-	2.01e-7	44.9	Uncharacterized protein n=1 Tax=Papilio machaon  RepID=A0A194RE43_PAPMA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JADQCY01_EVE012	high	73	viral (7), maybe-viral (3)	VDB (6), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	JADQCY010000003.1_20627972-20628137:-	2.01e-7	44.9	Uncharacterized protein n=1 Tax=Papilio machaon  RepID=A0A194RE43_PAPMA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
