eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
APCL01_EVE001	high	100	viral (10)	VDB (6), UDB Viruses (4)	APCL01000098.1_145711-146643:+	1.08e-19	23.9	VP3 [Morris orbivirus] acc=AQU42770.1 	VP3 [Morris orbivirus] acc=AQU42770.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Morris orbivirus	unclassified Viruses phylum
APCL01_EVE002	high	100	viral (10)	VDB (8), UDB Viruses (2)	APCL01001498.1_205557-205871:-	4.04e-25	48.1	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCL01_EVE003	high	100	viral (11)	VDB (8), UDB Viruses (3)	APCL01001525.1_4596-4929:-	8.69e-22	50.7	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCL01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	APCL01001850.1_104428-104664:-	1.49e-12	41.3	hypothetical protein [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42596.1 	hypothetical protein [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42596.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Guadeloupe mosquito quaranja-like virus 1	Negarnaviricota
APCL01_EVE005	high	100	viral (5)	VDB (3), UDB Viruses (2)	APCL01002786.1_19078-20075:+	3.2499999999999998e-28	30.6	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
APCL01_EVE006	high	100	viral (8)	VDB (5), UDB Viruses (3)	APCL01002788.1_1781-2039:+	2e-12	44.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
APCL01_EVE007	high	100	viral (20)	VDB (14), UDB Viruses (6)	APCL01003335.1_87767-91039:-	0	69.4	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
APCL01_EVE008	high	100	viral (3)	VDB (2), UDB Viruses (1)	APCL01004364.1_3-455:-	2.2100000000000003e-21	35.5	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus xinchengense	Negarnaviricota
APCL01_EVE009	high	100	viral (14)	VDB (8), UDB Viruses (6)	APCL01004367.1_1366-2266:-	3.33e-136	66.1	RdRp [Anopheles hinesorum orbivirus] acc=ASU43982.1 	RdRp [Anopheles hinesorum orbivirus] acc=ASU43982.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles hinesorum orbivirus	unclassified Viruses phylum
APCL01_EVE010	high	100	viral (13)	VDB (11), UDB Viruses (2)	APCL01004476.1_25845-26177:+	2.34e-30	53.7	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
