eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
STHD01_EVE001	high	100	viral (15)	VDB (9), UDB Viruses (6)	STHD01000005.1_43594818-43595984:+	1.4899999999999999e-205	74.7	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
STHD01_EVE002	high	100	viral (3)	VDB (2), UDB Viruses (1)	STHD01000005.1_43597922-43598128:+	1.95e-20	58	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
STHD01_EVE003	high	100	viral (15)	VDB (9), UDB Viruses (6)	STHD01000005.1_43607472-43608638:+	1.4899999999999999e-205	74.7	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
STHD01_EVE004	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHD01000005.1_43614324-43615126:+	7.310000000000001e-27	30.5	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHD01_EVE005	high	100	viral (15)	VDB (9), UDB Viruses (6)	STHD01000005.1_43618460-43619626:+	1.4899999999999999e-205	74.7	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
STHD01_EVE006	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHD01000005.1_43623926-43624728:+	7.310000000000001e-27	30.5	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHD01_EVE007	high	100	viral (15)	VDB (9), UDB Viruses (6)	STHD01000005.1_43628204-43629370:+	1.4899999999999999e-205	74.7	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
STHD01_EVE008	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHD01000005.1_43633769-43634571:+	7.310000000000001e-27	30.5	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHD01_EVE009	high	100	viral (15)	VDB (9), UDB Viruses (6)	STHD01000005.1_43639864-43641030:+	1.4899999999999999e-205	74.7	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
STHD01_EVE010	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHD01000005.1_43645361-43646163:+	7.310000000000001e-27	30.5	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHD01_EVE011	high	100	viral (2)	UDB Viruses (1), VDB (1)	STHD01000006.1_14242204-14243767:-	2.5800000000000002e-273	73.3	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
STHD01_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	STHD01000006.1_3315817-3316089:+	3.01e-15	39.6	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
STHD01_EVE013	high	100	viral (15)	VDB (9), UDB Viruses (6)	STHD01000008.1_17053140-17054306:+	1.4899999999999999e-205	74.7	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
STHD01_EVE014	high	100	viral (9)	VDB (6), UDB Viruses (3)	STHD01000008.1_17061874-17064986:+	0	70.6	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
STHD01_EVE015	high	100	viral (8)	VDB (5), UDB Viruses (3)	STHD01008294.1_1580-2008:-	1.29e-33	44.8	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
STHD01_EVE016	high	100	viral (2)	UDB Viruses (1), VDB (1)	STHD01011919.1_6-2033:-	0	73.6	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
STHD01_EVE017	high	100	viral (2)	UDB Viruses (1), VDB (1)	STHD01012099.1_1080-2285:+	1.34e-196	70.1	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
STHD01_EVE018	high	100	viral (2)	UDB Viruses (1), VDB (1)	STHD01012099.1_3-971:+	2.7499999999999996e-181	76.2	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
STHD01_EVE019	high	95	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (5), glycoprotein protein (1), viral (1)	STHD01001591.1_2734-4478:+	1.5999999999999998e-286	62.9	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
STHD01_EVE020	high	94	viral (13), maybe-viral (1)	VDB (7), UDB Viruses (6), uncharacterized protein (1)	STHD01000003.1_4830996-4831752:+	3.35e-18	30.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
