eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JXXB01_EVE001	high	100	viral (6)	UDB Viruses (3), VDB (3)	JXXB01000225.1_95-1213:-	8.66e-44	32.3	Putative nucleoprotein n=2 Tax=Riboviria  RepID=A0A1C9U5D9_9MONO	Putative nucleoprotein n=2 Tax=Riboviria  RepID=A0A1C9U5D9_9MONO	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Negarnaviricota
JXXB01_EVE002	high	100	viral (3)	VDB (2), UDB Viruses (1)	JXXB01005994.1_297-2930:-	0	65.8	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
JXXB01_EVE003	high	100	viral (12)	VDB (8), UDB Viruses (4)	JXXB01013890.1_296-1005:+	3.94e-24	33.1	hypothetical protein [Keturi virus] acc=QRW42850.1 	hypothetical protein [Keturi virus] acc=QRW42850.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Keturi virus	Duplornaviricota
JXXB01_EVE004	high	100	viral (2)	VDB (2)	JXXB01017775.1_1062-1598:-	1.27e-7	23.4	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75794.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Pisuviricota
JXXB01_EVE005	high	100	viral (1)	VDB (1)	JXXB01021084.1_80-227:+	8.09e-8	49	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JXXB01_EVE006	high	100	viral (18)	VDB (11), UDB Viruses (7)	JXXB01022830.1_3507-4322:-	1e-108	60.3	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
JXXB01_EVE007	high	100	viral (8)	VDB (6), UDB Viruses (2)	JXXB01028441.1_9-284:+	2.73e-11	32.2	polymerase PA [Orthomyxoviridae sp.] acc=QYW05799.1 	polymerase PA [Orthomyxoviridae sp.] acc=QYW05799.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Orthomyxoviridae sp.	Negarnaviricota
JXXB01_EVE008	high	100	viral (1)	VDB (1)	JXXB01037072.1_3455-3691:-	7.48e-20	55.7	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXXB01_EVE009	high	100	viral (1)	VDB (1)	JXXB01037072.1_3938-4295:-	9.62e-22	48.5	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXXB01_EVE010	high	100	viral (1)	VDB (1)	JXXB01041429.1_41-496:-	3.93e-6	31.1	RNA-dependent RNA polymerase [Fushun narnavirus 2] acc=UHR49685.1 	RNA-dependent RNA polymerase [Fushun narnavirus 2] acc=UHR49685.1 	k__Viruses;K__Orthornavirae;p__Lenarviricota;c__Amabiliviricetes;o__Wolframvirales;f__Narnaviridae;g__Narnavirus;s__Fushun narnavirus 2	Lenarviricota
JXXB01_EVE011	high	97	viral (19), maybe-viral (1)	VDB (11), UDB Viruses (8), uncharacterized protein (1)	JXXB01006873.1_214-1135:-	9.06e-24	25.2	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota
