eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
STHA01_EVE001	high	100	viral (10)	VDB (6), UDB Viruses (4)	STHA01000003.1_44590325-44590716:+	8.68e-17	38	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
STHA01_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	STHA01000004.1_17494938-17495206:+	5.71e-10	35.9	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
STHA01_EVE003	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHA01000004.1_18406294-18406596:-	2.4e-13	30.7	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHA01_EVE004	high	100	viral (8)	VDB (5), UDB Viruses (3)	STHA01000004.1_18407504-18407932:-	2.2e-30	43.4	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
STHA01_EVE005	high	100	viral (3)	VDB (3)	STHA01000004.1_18445830-18446117:-	6e-10	34.4	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	hypothetical protein [Lestijarvi alphachrysovirus] acc=UUV42201.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Chrysoviridae;g__Alphachrysovirus;s__Lestijarvi alphachrysovirus	Duplornaviricota
STHA01_EVE006	high	100	viral (3)	VDB (2), UDB Viruses (1)	STHA01000005.1_15353259-15353844:+	1.77e-68	55.3	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
STHA01_EVE007	high	100	viral (3)	VDB (2), UDB Viruses (1)	STHA01000005.1_15353833-15354685:+	8.11e-124	63	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
STHA01_EVE008	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHA01000005.1_43561631-43561933:+	2.4e-13	30.7	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHA01_EVE009	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHA01000005.1_43573772-43574074:+	2.4e-13	30.7	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHA01_EVE010	high	100	viral (20)	VDB (12), UDB Viruses (8)	STHA01000005.1_43577204-43578872:+	1.2599999999999998e-291	72.4	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
STHA01_EVE011	high	100	viral (8)	VDB (5), UDB Viruses (3)	STHA01000005.1_43580647-43581075:+	2.2e-30	43.4	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
STHA01_EVE012	high	100	viral (6)	VDB (4), UDB Viruses (2)	STHA01000005.1_43584956-43585267:+	4.27e-20	45.2	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	putative capsid protein [Hattula totivirus 3] acc=UUV42260.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__Totivirus;s__Hattula totivirus 3	Duplornaviricota
STHA01_EVE013	high	100	viral (5)	VDB (3), UDB Viruses (2)	STHA01000005.1_43586175-43586477:+	2.4e-13	30.7	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
STHA01_EVE014	high	100	viral (20)	VDB (12), UDB Viruses (8)	STHA01000005.1_43590151-43591819:+	1.2599999999999998e-291	72.4	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
