eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
LULA01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	LULA01001466.1_15456-16065:+	3.47e-9	29.3	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
LULA01_EVE002	high	100	viral (8)	VDB (6), UDB Viruses (2)	LULA01002405.1_58235-58707:+	1.23e-14	43.7	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
LULA01_EVE003	high	100	viral (20)	VDB (15), UDB Viruses (5)	LULA01002797.1_31405-31674:-	8.94e-20	45.6	putative nucleocapsid protein [Hameenlinna phasivirus] acc=UYL94377.1 	putative nucleocapsid protein [Hameenlinna phasivirus] acc=UYL94377.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Phasivirus;s__Hameenlinna phasivirus	Negarnaviricota
LULA01_EVE004	high	100	viral (5)	VDB (4), UDB Viruses (1)	LULA01005491.1_42029-42501:+	1.54e-11	42.1	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
LULA01_EVE005	high	100	viral (20)	VDB (12), UDB Viruses (8)	LULA01005733.1_16811-18216:+	2.9599999999999998e-89	37.5	PB2 [Aedes alboannulatus orthomyxo-like virus] acc=ASA47421.1 	PB2 [Aedes alboannulatus orthomyxo-like virus] acc=ASA47421.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
LULA01_EVE006	high	100	viral (11)	VDB (8), UDB Viruses (3)	LULA01006423.1_24714-25534:+	1.66e-76	49.3	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
LULA01_EVE007	high	100	viral (11)	VDB (8), UDB Viruses (3)	LULA01006554.1_40069-40866:-	1.0499999999999998e-151	81.2	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
LULA01_EVE008	high	100	viral (11)	VDB (8), UDB Viruses (3)	LULA01006554.1_41692-42489:-	1.0499999999999998e-151	81.2	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
LULA01_EVE009	high	100	viral (13)	VDB (10), UDB Viruses (3)	LULA01006554.1_43042-43491:-	3.14e-80	81.3	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
LULA01_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	LULA01006582.1_2412-2768:+	3.27e-13	30.3	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
