eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JXPR01_EVE001	high	100	viral (9)	VDB (8), UDB Viruses (1)	JXPR01023829.1_3384-3792:+	8.000000000000001e-21	47.1	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JXPR01_EVE002	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	JXPR01010757.1_11010-11150:-	1.69e-19	66	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JXPR01_EVE003	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	JXPR01004757.1_2111-2314:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
JXPR01_EVE004	high	90	viral (18), non-viral (2)	VDB (11), UDB Viruses (7), annotated protein of Eukaryota (2)	JXPR01004757.1_2666-2794:-	8.26e-10	58.1	PB2 [Whidbey virus] acc=AQU42765.1 	PB2 [Whidbey virus] acc=AQU42765.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Whidbey virus	Negarnaviricota
JXPR01_EVE005	high	76	viral (5), maybe-viral (2)	VDB (3), UDB Viruses (2), uncharacterized protein (2)	JXPR01026564.1_11448-11739:+	3.7e-16	78.7	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	nonstructural protein 1 [Broome densovirus 1] acc=QLJ83483.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Muscodensovirus;s__Muscodensovirus dipteran2	Cossaviricota
JXPR01_EVE006	high	74	viral (4), maybe-viral (1)	VDB (3), UDB Viruses (1), uncharacterized protein (1)	JXPR01030101.1_5436-5825:+	2.23e-22	46.4	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33807.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JXPR01_EVE007	high	71	viral (6), maybe-viral (3)	VDB (5), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	JXPR01018002.1_1205-1339:-	5.68e-8	100	uncharacterized protein LOC120901183 n=1 Tax=Anopheles arabiensis  RepID=UPI001AADB3DA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JXPR01_EVE008	high	71	viral (5), maybe-viral (2)	VDB (3), UDB Viruses (2), uncharacterized protein (2)	JXPR01026564.1_12968-13447:+	7.54e-32	81.1	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JXPR01_EVE009	high	51	maybe-viral (11), viral (9)	uncharacterized protein (6), VDB (6), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	JXPR01051514.1_313-893:+	8.96e-69	62.9	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
JXPR01_EVE010	high	49	viral (9), maybe-viral (8), non-viral (3)	VDB (5), UDB Viruses (4), annotated protein of Eukaryota (3), glycoprotein protein (3), uncharacterized protein (3), polyprotein protein (2)	JXPR01014980.1_2054-2530:-	5.31e-61	63.8	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
