eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE001	high	100	viral (8)	VDB (5), UDB Viruses (3)	OZ001347.1_94935423-94935740:+	8.36e-28	48.6	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33810.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33810.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE002	high	100	viral (20)	VDB (13), UDB Viruses (7)	OZ001349.1_2132972-2133212:+	6.87e-19	51.3	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE003	high	100	viral (15)	VDB (9), UDB Viruses (6)	OZ001349.1_3168674-3170078:-	3.269999999999999e-215	66.9	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE004	high	96	viral (23), non-viral (1)	VDB (15), UDB Viruses (8), annotated protein of Eukaryota (1)	OZ001349.1_2137053-2137175:+	1.58e-10	61	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE005	high	96	viral (21), maybe-viral (1)	VDB (15), UDB Viruses (5), glycoprotein protein (1), virus (1)	OZ001349.1_3165297-3165463:-	6.33e-14	44.8	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE006	high	77	viral (6), maybe-viral (2)	VDB (4), UDB Viruses (2), uncharacterized protein (2)	OZ001348.2_70787267-70787593:-	3.18e-27	54.2	Uncharacterized protein n=1 Tax=Anopheles culicifacies  RepID=A0A182MPX7_9DIPT	nonstructural protein 1 [Broome densovirus 1] acc=QLJ83483.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Muscodensovirus;s__Muscodensovirus dipteran2	Cossaviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE007	high	73	viral (7), maybe-viral (3)	VDB (6), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	OZ001348.2_70781604-70781769:-	2.01e-7	44.9	Uncharacterized protein n=1 Tax=Papilio machaon  RepID=A0A194RE43_PAPMA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE008	high	67	viral (5), maybe-viral (3)	VDB (4), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	OZ001348.2_70779678-70779812:-	4.94e-8	48.9	Uncharacterized protein n=1 Tax=Papilio machaon  RepID=A0A194RE43_PAPMA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE009	high	59	viral (11), maybe-viral (5), non-viral (4)	viral (11), uncharacterized protein (5), annotated protein of Eukaryota (4)	OZ001348.2_10569856-10570008:+	6.31e-32	94.1	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE010	high	51	maybe-viral (11), viral (9)	uncharacterized protein (6), VDB (6), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	OZ001347.1_73309120-73309702:+	5.84e-70	63.4	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
GCA_963924065.2_idAnoArabHR-G3.2_genomic_EVE011	high	50	non-viral (2), viral (2)	annotated protein of Eukaryota (2), UDB Viruses (1), VDB (1)	OZ001347.1_73327097-73327755:+	2.79e-7	47.2	Secreted protein n=1 Tax=Anopheles funestus  RepID=A0A182S1P4_ANOFN	movement protein [Eggplant mosaic virus] acc=NP_040967.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Alsuviricetes;o__Tymovirales;f__Tymoviridae;g__Tymovirus;s__Tymovirus melongenae	Arthropoda
