eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
LULB01_EVE001	high	100	viral (5)	VDB (3), UDB Viruses (2)	LULB01000414.1_3317-3883:-	1.82e-16	31.6	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
LULB01_EVE002	high	100	viral (20)	VDB (14), UDB Viruses (6)	LULB01001923.1_244-504:-	3.09e-15	42.5	polymerase PA [Orthomyxoviridae sp.] acc=QYW05799.1 	polymerase PA [Orthomyxoviridae sp.] acc=QYW05799.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Orthomyxoviridae sp.	Negarnaviricota
LULB01_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	LULB01003325.1_536-721:+	4.38e-11	44.6	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
LULB01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	LULB01003338.1_3-159:-	8.1e-9	40.7	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	glycoprotein [Anphevirus sp.] acc=QTW97828.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
LULB01_EVE005	high	100	viral (11)	VDB (8), UDB Viruses (3)	LULB01003710.1_1121-1416:+	1.2799999999999999e-31	56.2	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
LULB01_EVE006	high	100	viral (4)	VDB (4)	LULB01005626.1_3-92:+	1.28e-7	70	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
LULB01_EVE007	high	100	viral (21)	VDB (13), UDB Viruses (8)	LULB01007631.1_558-1381:-	1.06e-108	58.4	PA [Aedes alboannulatus orthomyxo-like virus] acc=ASA47422.1 	PA [Aedes alboannulatus orthomyxo-like virus] acc=ASA47422.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
LULB01_EVE008	high	100	viral (20)	VDB (13), UDB Viruses (7)	LULB01007632.1_1-387:-	6.7899999999999994e-34	47.3	PA [Aedes alboannulatus orthomyxo-like virus] acc=ASA47422.1 	PA [Aedes alboannulatus orthomyxo-like virus] acc=ASA47422.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
LULB01_EVE009	high	100	viral (20)	VDB (17), UDB Viruses (3)	LULB01008636.1_101-253:-	6.73e-16	54.9	replication-associated protein [Army ant associated cyclovirus 9] acc=WBG01488.1 	replication-associated protein [Army ant associated cyclovirus 9] acc=WBG01488.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__Cyclovirus;s__Army ant associated cyclovirus 9	Cressdnaviricota
LULB01_EVE010	high	100	viral (20)	VDB (12), UDB Viruses (8)	LULB01008636.1_482-1123:+	4.38e-36	33.3	Cap [Tadarida brasiliensis associated cyclovirus 1] acc=UJO02084.1 	Cap [Tadarida brasiliensis associated cyclovirus 1] acc=UJO02084.1 	k__Viruses;K__Shotokuvirae;p__Cressdnaviricota;c__Arfiviricetes;o__Cirlivirales;f__Circoviridae;g__Cyclovirus;s__Tadarida brasiliensis associated cyclovirus 1	Cressdnaviricota
LULB01_EVE011	high	100	viral (21)	VDB (18), UDB Viruses (3)	LULB01009943.1_5810-5998:-	1.02e-14	57.1	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
LULB01_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	LULB01011282.1_1-174:-	5.07e-11	46.6	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
LULB01_EVE013	high	100	viral (2)	VDB (2)	LULB01011284.1_7-96:-	2.93e-6	56.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
LULB01_EVE014	high	100	viral (23)	VDB (18), UDB Viruses (5)	LULB01020938.1_1231-1458:+	5.86e-34	81.6	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
