eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSEK01_EVE001	high	100	viral (11)	VDB (8), UDB Viruses (3)	CALSEK010000001.1_1637967-1638382:-	4.1500000000000003e-22	47.7	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
CALSEK01_EVE002	high	100	viral (4)	VDB (4)	CALSEK010000025.1_1660296-1660535:-	2.58e-13	50	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
CALSEK01_EVE003	high	100	viral (20)	VDB (11), UDB Viruses (9)	CALSEK010000041.1_531186-532619:-	4.84e-34	24.7	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	glycoprotein [Grenada mosquito rhabdovirus 1] acc=QBQ64914.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Grenada mosquito rhabdovirus 1	Negarnaviricota
CALSEK01_EVE004	high	100	viral (1)	VDB (1)	CALSEK010000090.1_1844831-1845148:-	2.31e-12	38.4	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
CALSEK01_EVE005	high	100	viral (13)	VDB (10), UDB Viruses (3)	CALSEK010000114.1_1479942-1480578:-	2.93e-63	54.2	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
CALSEK01_EVE006	high	100	viral (4)	VDB (3), UDB Viruses (1)	CALSEK010000117.1_589958-590181:-	1.35e-10	43.6	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Palmetto orthomyxo-like virus	Negarnaviricota
CALSEK01_EVE007	high	100	viral (13)	VDB (10), UDB Viruses (3)	CALSEK010000143.1_200349-200522:-	4.87e-16	58.6	PA [Whidbey virus] acc=AQU42766.1 	PA [Whidbey virus] acc=AQU42766.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Whidbey virus	Negarnaviricota
CALSEK01_EVE008	high	100	viral (3)	VDB (2), UDB Viruses (1)	CALSEK010000185.1_133812-134134:-	5.5e-11	40.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
CALSEK01_EVE009	high	96	viral (20), maybe-viral (1)	VDB (14), UDB Viruses (6), uncharacterized protein (1)	CALSEK010000090.1_1854893-1855426:-	3.0399999999999996e-31	34.6	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
CALSEK01_EVE010	high	96	viral (16), maybe-viral (1)	VDB (9), UDB Viruses (7), uncharacterized protein (1)	CALSEK010000105.1_172187-173505:+	6.06e-22	24.6	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	hypothetical protein [Wuhan Mosquito Virus 9] acc=QTW97821.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	Negarnaviricota
CALSEK01_EVE011	high	94	viral (20), maybe-viral (2)	VDB (11), UDB Viruses (9), uncharacterized protein (2)	CALSEK010000105.1_160452-161762:+	5.96e-26	23.5	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota
CALSEK01_EVE012	high	94	viral (18), maybe-viral (2)	VDB (10), UDB Viruses (8), uncharacterized protein (2)	CALSEK010000105.1_162919-164221:+	5.73e-26	22.6	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	nucleoprotein [Rhabdoviridae sp.] acc=UCR92567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota
