eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JADGIQ01_EVE001	high	100	viral (2)	UDB Viruses (1), VDB (1)	JADGIQ010000001.1_22794622-22794843:+	1.29e-16	44.6	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADGIQ01_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	JADGIQ010000001.1_23774732-23774971:-	2.36e-41	86.3	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JADGIQ01_EVE003	high	100	viral (20)	VDB (11), UDB Viruses (9)	JADGIQ010000001.1_24459126-24459604:-	1.39e-38	47.5	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
JADGIQ01_EVE004	high	100	viral (20)	VDB (13), UDB Viruses (7)	JADGIQ010000001.1_24962150-24963890:+	0	74.2	RNA-directed RNA polymerase n=14 Tax=Totiviridae  RepID=A0A223PIK2_9VIRU	RNA-directed RNA polymerase n=14 Tax=Totiviridae  RepID=A0A223PIK2_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__unclassified Totiviridae species	Duplornaviricota
JADGIQ01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	JADGIQ010000001.1_25245396-25246140:-	1.8400000000000002e-79	53	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
JADGIQ01_EVE006	high	100	viral (4)	VDB (3), UDB Viruses (1)	JADGIQ010000001.1_25248849-25249627:-	8.14e-89	56.2	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
JADGIQ01_EVE007	high	100	viral (7)	VDB (7)	JADGIQ010000001.1_3554480-3554668:+	5.13e-12	69.8	RdRp [Hubei partiti-like virus 35] acc=APG78333.1 	RdRp [Hubei partiti-like virus 35] acc=APG78333.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei partiti-like virus 35	unclassified Viruses phylum
JADGIQ01_EVE008	high	100	viral (3)	VDB (2), UDB Viruses (1)	JADGIQ010000003.1_5118580-5119118:+	5.32e-25	35.9	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus xinchengense	Negarnaviricota
JADGIQ01_EVE009	high	100	viral (22)	VDB (11), UDB Viruses (8), capsid (3)	JADGIQ010000003.1_5136769-5137008:+	2.3600000000000002e-29	58.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
JADGIQ01_EVE010	high	100	viral (7)	VDB (4), UDB Viruses (3)	JADGIQ010000003.1_5217668-5218763:+	1.7799999999999997e-216	78.8	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
JADGIQ01_EVE011	high	100	viral (7)	VDB (4), UDB Viruses (3)	JADGIQ010000003.1_5218894-5219331:+	8.74e-86	86.3	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
JADGIQ01_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	JADGIQ010000005.1_7342217-7342670:+	4.46e-73	70.4	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JADGIQ01_EVE013	high	100	viral (2)	UDB Viruses (1), VDB (1)	JADGIQ010000428.1_193-1401:+	7.12e-255	84.1	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JADGIQ01_EVE014	high	100	viral (2)	UDB Viruses (1), VDB (1)	JADGIQ010000522.1_154-1578:+	1.76e-305	86.1	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JADGIQ01_EVE015	high	97	viral (14), maybe-viral (1)	VDB (11), UDB Viruses (2), capsid (1), uncharacterized protein (1)	JADGIQ010000001.1_24959239-24962010:+	0	75.8	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Australian Anopheles totivirus	Duplornaviricota
JADGIQ01_EVE016	high	94	viral (11), maybe-viral (1)	VDB (8), UDB Viruses (3), uncharacterized protein (1)	JADGIQ010000001.1_12042995-12043257:-	3.58e-14	45.5	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
