sample	basepairs
CAJZCY01	277,747,802
CALSDO01	226,239,815
GCA_943734665.2	176,564,600
CALSDS01	207,232,648
GCF_943734685.1	262,591,929
GCF_943734695.1	224,053,941
GCF_943734705.1	269,970,552
CALSDW01	229,140,800
GCF_943734725.1	225,707,104
GCF_943734735.2	264,435,381
GCF_943734745.1	181,624,736
GCF_943734755.1	271,297,023
GCF_943734765.1	269,983,652
CALSEC01	176,521,697
CALSED01	224,236,982
CALSEE01	113,471,412
CALSEF01	224,751,855
CALSEH02	175,411,823
CALSEI01	217,350,203
GCF_943734845.2	250,698,078
CALSEK01	215,811,166
CALSFZ01	164,693,322
GCF_943737925.1	195,187,201
CALTRM01	104,747,681
CAWUOS01	135,932,123
GCA_963924065.2	252,144,866
CAWUOX01	144,416,121
GCA_964033645.1	248,370,025
JABUIU01	172,602,732
JABUIV01	3,802,539
AAAB01	328942838
ABKP02	209529067
ABKQ02	228040215
ADMH02	136935538
ALPR02	209483518
APCG01	196183657
APCH01	208966669
APCI01	190015440
APCJ01	202632179
APCK01	163585001
APCL01	197741572
APCM01	169987185
APCN01	211443117
APHL01	186406809
ATLV01	214511315
AXCK02	190280839
AXCL01	131831173
AXCM01	187158781
AXCN02	175822780
AXCO02	203428649
AXCP01	188952560
AXCQ02	217320349
CALSDP01	22255661
CALSDT01	13056781
CALSDU01	11107966
CALSDV02	58494945
CALSDX01	29203678
CALSDY02	19006784
CALSDZ01	2013416
CALSEA01	57036950
CALSEB02	58494945
CALSEJ01	40913602
CALSEL02	11542169
CALSGA01	25208350
CAXITP01	36952894
JABEOT01	243475713
JADFFJ01	245361604
JADFFN01	220673503
JADFFO01	300125122
JADFTP01	273423912
JADFTQ01	256823316
JADGIQ01	220078729
JADQDA01	252369346
JAIQDY01	223907960
JALIHK01	307476708
JAOEFI01	194692612
JAVFHU01	216250770
JBCDWH01	182389673
JXPR01	220394761
JXWZ01	146379160
JXXA01	146157495
JXXB01	151110088
JXXC01	161383639
LCWJ01	293748066
LULA01	441164621
LULB01	325760517
NJHH01	162944031
RCWQ01	444543995
RWKB01	340556243
SIXB01	288964812
STHA01	308715197
STHB01	321497600
STHC01	278993627
STHD01	347088589
STHE01	229176485
STHF01	258496555
VTWG01	232632941
ATLZ01	98,320,046
JADGIR01	170,170,859
JADQCV01	236,320,436
JADQCW01	244,905,343
JADQCX01	242,999,731
JADQCY01	236,561,446
JADQCZ01	246,885,699
