eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
AXCP01_EVE001	high	100	viral (7)	VDB (4), UDB Viruses (3)	AXCP01004142.1_2022-2246:-	5.639999999999999e-37	86.7	Uncharacterized protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV1_9VIRU	Uncharacterized protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV1_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
AXCP01_EVE002	high	100	viral (7)	VDB (4), UDB Viruses (3)	AXCP01004142.1_363-800:-	8.74e-86	86.3	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
AXCP01_EVE003	high	100	viral (7)	VDB (4), UDB Viruses (3)	AXCP01004142.1_931-2026:-	1.7799999999999997e-216	78.8	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
AXCP01_EVE004	high	100	viral (22)	VDB (11), UDB Viruses (8), capsid (3)	AXCP01004150.1_4659-4898:-	2.3600000000000002e-29	58.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
AXCP01_EVE005	high	100	viral (3)	VDB (2), UDB Viruses (1)	AXCP01004153.1_1742-2280:-	5.32e-25	35.9	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus xinchengense	Negarnaviricota
AXCP01_EVE006	high	100	viral (20)	VDB (13), UDB Viruses (7)	AXCP01004492.1_3401-5141:+	0	74.2	RNA-directed RNA polymerase n=14 Tax=Totiviridae  RepID=A0A223PIK2_9VIRU	RNA-directed RNA polymerase n=14 Tax=Totiviridae  RepID=A0A223PIK2_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__unclassified Totiviridae species	Duplornaviricota
AXCP01_EVE007	high	100	viral (7)	VDB (7)	AXCP01004605.1_4980-5168:+	5.13e-12	69.8	RdRp [Hubei partiti-like virus 35] acc=APG78333.1 	RdRp [Hubei partiti-like virus 35] acc=APG78333.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei partiti-like virus 35	unclassified Viruses phylum
AXCP01_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCP01005680.1_6572-6751:-	2.12e-8	45	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
AXCP01_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCP01007093.1_4473-4694:-	1.29e-16	44.6	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	Nucleoprotein n=2 Tax=Anphevirus  RepID=A0A8B0RJ52_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
AXCP01_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCP01007197.1_1764-2508:-	1.8400000000000002e-79	53	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	RNA-directed RNA polymerase n=2 Tax=Anphevirus  RepID=A0A0B5KTS7_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
AXCP01_EVE011	high	100	viral (4)	VDB (3), UDB Viruses (1)	AXCP01007197.1_5217-5995:-	8.14e-89	56.2	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
AXCP01_EVE012	high	100	viral (20)	VDB (11), UDB Viruses (9)	AXCP01007702.1_1035-1513:-	1.39e-38	47.5	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
AXCP01_EVE013	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCP01008231.1_2-241:-	2.36e-41	86.3	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
AXCP01_EVE014	high	100	viral (2)	UDB Viruses (1), VDB (1)	AXCP01008487.1_7626-8079:+	4.46e-73	70.4	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
