eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
APHL01_EVE001	high	100	viral (11)	VDB (8), UDB Viruses (3)	APHL01000195.1_422708-423238:+	2.42e-22	32.2	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
APHL01_EVE002	high	100	viral (5)	VDB (3), UDB Viruses (2)	APHL01000332.1_15838-16845:-	4.46e-38	31.2	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	hypothetical protein 6 [Hubei tetragnatha maxillosa virus 9] acc=APG79083.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei tetragnatha maxillosa virus 9	unclassified Viruses phylum
APHL01_EVE003	high	100	viral (20)	VDB (20)	APHL01000391.1_1250-1357:+	5.99e-10	55.6	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
APHL01_EVE004	high	100	viral (9)	VDB (5), UDB Viruses (4)	APHL01001392.1_113979-114407:+	1.1799999999999999e-23	41	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
APHL01_EVE005	high	100	viral (20)	VDB (13), UDB Viruses (7)	APHL01003241.1_445-725:-	1.53e-15	45.7	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
APHL01_EVE006	high	100	viral (22)	VDB (13), UDB Viruses (9)	APHL01003417.1_2911-3439:+	1.2699999999999999e-24	35.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
APHL01_EVE007	high	100	viral (4)	UDB Viruses (2), VDB (2)	APHL01003683.1_23440-24226:+	8.910000000000001e-27	29.8	putative glycoprotein [Gambie virus] acc=AOR51380.1 	putative glycoprotein [Gambie virus] acc=AOR51380.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
APHL01_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	APHL01004703.1_1089-1220:-	4.63e-10	61.4	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
APHL01_EVE009	high	96	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (5), glycoprotein protein (1), viral (1)	APHL01000154.1_70364-71307:-	3.08e-138	65.6	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
APHL01_EVE010	high	96	viral (19), maybe-viral (1)	VDB (13), UDB Viruses (5), glycoprotein protein (1), viral (1)	APHL01000154.1_71633-71989:-	1.02e-49	69.7	putative glycoprotein [Gambie virus] acc=AOR51379.1 	putative glycoprotein [Gambie virus] acc=AOR51379.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
APHL01_EVE011	high	96	viral (20), non-viral (1)	VDB (11), UDB Viruses (7), capsid (2), annotated protein of Eukaryota (1)	APHL01005664.1_1657-2658:+	2.54e-127	56	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
APHL01_EVE012	high	92	viral (20), maybe-viral (1), non-viral (1)	VDB (10), UDB Viruses (8), annotated protein of Eukaryota (1), capsid (1), coat (1), uncharacterized protein (1)	APHL01001967.1_5449-5694:+	1.54e-19	48.8	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
APHL01_EVE013	high	90	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of Eukaryota (1)	APHL01005937.1_2-1978:+	0	93.5	Genome polyprotein (Fragment) n=3 Tax=unclassified Flaviviridae  RepID=A0A1C9U5I9_9FLAV	Genome polyprotein (Fragment) n=3 Tax=unclassified Flaviviridae  RepID=A0A1C9U5I9_9FLAV	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__unclassified Flaviviridae species	Kitrinoviricota
APHL01_EVE014	high	89	viral (16), maybe-viral (2), non-viral (2)	VDB (10), UDB Viruses (6), uncharacterized protein (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	APHL01000390.1_8094-8674:+	7.42e-32	36.4	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
