eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSDS01_EVE001	high	100	viral (7)	VDB (6), UDB Viruses (1)	CALSDS010000015.1_812377-812770:+	3.77e-19	45.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
CALSDS01_EVE002	high	100	viral (20)	VDB (13), UDB Viruses (7)	CALSDS010000303.1_61776-63261:-	2.85e-221	64.7	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
CALSDS01_EVE003	high	96	viral (20), maybe-viral (1)	VDB (12), UDB Viruses (7), glycoprotein protein (1), virus (1)	CALSDS010000047.1_645949-646089:+	1.69e-19	66	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
CALSDS01_EVE004	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSDS010000090.1_130347-130550:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
CALSDS01_EVE005	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSDS010000090.1_130920-131123:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
CALSDS01_EVE006	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSDS010000090.1_131493-131696:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
CALSDS01_EVE007	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSDS010000090.1_132066-132269:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
CALSDS01_EVE008	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSDS010000090.1_132639-132842:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
CALSDS01_EVE009	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of Eukaryota (1)	CALSDS010000090.1_133212-133415:-	1.29e-17	48.5	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
CALSDS01_EVE010	high	73	viral (7), maybe-viral (3)	VDB (6), uncharacterized protein (2), hypothetical protein (1), UDB Viruses (1)	CALSDS010000029.1_381609-381774:+	8.67e-8	100	uncharacterized protein LOC120901183 n=1 Tax=Anopheles arabiensis  RepID=UPI001AADB3DA	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
