eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE001	high	100	viral (16)	VDB (16)	OX030882.1_10805731-10806405:-	5.6e-5	100	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE002	high	100	viral (16)	VDB (16)	OX030882.1_21799462-21800136:-	5.6e-5	100	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE003	high	100	viral (16)	VDB (16)	OX030882.1_21800146-21800820:-	5.6e-5	100	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE004	high	100	viral (16)	VDB (16)	OX030882.1_21800830-21801504:-	5.6e-5	100	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	p125 protein [Bovine viral diarrhea virus 1] acc=AAA53067.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__Pestivirus;s__Pestivirus bovis	Kitrinoviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE005	high	100	viral (12)	VDB (8), UDB Viruses (4)	OX030882.1_58118639-58120351:+	2.15e-94	34.3	hypothetical protein [Keturi virus] acc=QRW42850.1 	hypothetical protein [Keturi virus] acc=QRW42850.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Keturi virus	Duplornaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE006	high	100	viral (1)	VDB (1)	OX030883.1_16182227-16182683:-	4.03e-38	48.4	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	glycoprotein [Chapada dielmovirus] acc=QYI39977.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Chapada dielmovirus	unclassified Viruses phylum
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE007	high	100	viral (4)	UDB Viruses (2), VDB (2)	OX030883.1_16187353-16187705:-	2.68e-18	40.8	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE008	high	100	viral (6)	VDB (4), UDB Viruses (2)	OX030883.1_31615193-31616206:+	9.84e-35	31.9	nonstructural protein [Fako virus] acc=WLG20790.1 	nonstructural protein [Fako virus] acc=WLG20790.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Dinovernavirus;s__Fako virus	Duplornaviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE009	high	100	viral (20)	VDB (16), UDB Viruses (4)	OX030883.1_32055880-32056653:+	1.4899999999999997e-159	82.9	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Soufli partiti-like virus	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE010	high	100	viral (3)	VDB (2), UDB Viruses (1)	OX030884.1_5749050-5749592:-	1.46e-8	34.6	transcriptional regulator ICP4 [Human alphaherpesvirus 2] acc=AHG54724.1 	transcriptional regulator ICP4 [Human alphaherpesvirus 2] acc=AHG54724.1 	k__Viruses;K__Heunggongvirae;p__Peploviricota;c__Herviviricetes;o__Herpesvirales;f__Orthoherpesviridae;g__Simplexvirus;s__Simplexvirus humanalpha2	Peploviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE011	high	96	viral (20), non-viral (1)	VDB (18), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	OX030882.1_55886281-55886939:+	1.53e-73	55.1	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	RNA-dependent RNA polymerase [Riboviria sp.] acc=QVG74789.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	unclassified Viruses phylum
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE012	high	96	viral (14), maybe-viral (1)	VDB (9), UDB Viruses (5), uncharacterized protein (1)	OX030883.1_32282616-32283565:+	6.47e-136	59.8	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCA_943734665.2_idAnoAquaMG_Q_19.2_genomic_EVE013	high	96	viral (13), maybe-viral (1)	VDB (8), UDB Viruses (5), uncharacterized protein (1)	OX030883.1_32329380-32330480:+	4.1299999999999995e-158	60.6	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
