accessions	organism_an	infra_name_ss	haplotypes	sequencing technique	sequencing	assembly	coverage 	location	submission	Institute	
APCK01	Anopheles albimanus	strain: ALBI9_A		Illumina	second	allpaths v. R43019	95.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	VectorBase, European Bioinformatics Institute, Hinxton, Cambridge
JABUIU01	Anopheles albimanus	strain: STELCA	JABUIV01	Oxford Nanopore MinION; Illumina HiSeq; Bionano DLS; Hi-C	hybrid	Canu v. 1.3	120.0x	El Salvador	2020	Biochemistry, Virginia Polytechnic Institute and State University, Virginia Tech, Blacksburg, VA 24061, USA	
JABUIV01	Anopheles albimanus	strain: STELCA		Oxford Nanopore MinION; Illumina HiSeq; Bionano DLS; Hi-C	hybrid	Canu v. 1.3	120.0x	El Salvador	2020	Biochemistry, Virginia Polytechnic Institute and State University, Virginia Tech, Blacksburg, VA 24061, USA	
JADGIR01	Anopheles albimanus			Illumina	second	AllPaths v. R43019	95x	El Salvador	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
NJHH01	Anopheles aquasalis	isolate: PFPP-2014		Illumina HiSeq	second	SOAPdenovo v. February-2014	340.0x	Brazil: Amazon	2017	Parasitology, Universidade Federal de Minas Gerais, Av. Anonio Carlos 6627, ICB, Bloco I, sala i-177, Belo Horizonte, MG 31270901, Brazil	
CALSDQ02	Anopheles aquasalis			PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2, gEVAL	94x		2022	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCA_943734665.2	Anopheles aquasalis		CALSEH02	PacBio HiFi data, 10X Genomics Chromium data, and Arima Hi-C data	hybrid	hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA6	94x		2022/24	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
JADFTQ01	Anopheles arabiensis	isolate: DONGOLA		Oxford Nanopore MinION	third	Canu v. 1.8	114.0x	Sudan: Dongola	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
APCN01	Anopheles arabiensis	strain: DONG5_A		Illumina	second	allpaths v. R43436	100.0x		2013	Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge,	
CAWUOV02	Anopheles arabiensis			PacBio HiFi data and Arima Hi-C	hybrid	hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YAHS	11x		2024	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
GCA_963924065.2	Anopheles arabiensis		CAWUOX01	PacBio HiFi data and Arima Hi-C	hybrid	hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YAHS	11x		2024	WELLCOME SANGER INSTITUTE, Tree of Life, Wellcome Genome Campus, Hinxton CB10 1SA, United Kingdom	
AXCP01	Anopheles atroparvus	strain: EBRO		Illumina	second	allpaths	98.0x			Broad Institute of MIT and Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	
JADGIQ01	Anopheles atroparvus	strain: EBRO		Illumina	second	AllPaths v. R46504	98x	Spain	2020	Entomology, Virginia Tech, 360 W. Campus Dr., Fralin, Blacksburg, VA 24061, USA	
