eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
APCJ01_EVE001	high	100	viral (6)	VDB (4), UDB Viruses (2)	APCJ01000147.1_48940-49208:+	8.14e-15	35.5	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
APCJ01_EVE002	high	100	viral (11)	VDB (8), UDB Viruses (3)	APCJ01000979.1_15033-15830:-	1.96e-163	88	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCJ01_EVE003	high	100	viral (11)	VDB (8), UDB Viruses (3)	APCJ01001121.1_149459-149744:-	4.51e-14	47.9	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCJ01_EVE004	high	100	viral (11)	VDB (8), UDB Viruses (3)	APCJ01001233.1_51089-51553:+	1.5500000000000002e-91	89.7	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCJ01_EVE005	high	100	viral (9)	VDB (6), UDB Viruses (3)	APCJ01002203.1_30016-30467:-	6.94e-48	58.9	RdRp [Gambie virus] acc=AOR51378.1 	RdRp [Gambie virus] acc=AOR51378.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
APCJ01_EVE006	high	100	viral (6)	VDB (6)	APCJ01002289.1_92183-92428:-	1.52e-11	42.7	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
APCJ01_EVE007	high	100	viral (13)	VDB (9), UDB Viruses (4)	APCJ01003072.1_27607-30346:-	0	68.8	glycoprotein [Anopheles phasivirus 1] acc=BEK62748.1 	glycoprotein [Anopheles phasivirus 1] acc=BEK62748.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCJ01_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	APCJ01003072.1_45535-45847:-	1.8e-11	34.7	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
APCJ01_EVE009	high	100	viral (13)	VDB (10), UDB Viruses (3)	APCJ01004334.1_2893-3126:+	8.98e-22	52.6	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
APCJ01_EVE010	high	100	viral (13)	VDB (9), UDB Viruses (4)	APCJ01004601.1_5655-6785:+	8.699999999999999e-197	72.7	RNA-directed RNA polymerase n=14 Tax=Totiviridae  RepID=A0A223PIK2_9VIRU	RNA-directed RNA polymerase n=14 Tax=Totiviridae  RepID=A0A223PIK2_9VIRU	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__unclassified Totiviridae species	Duplornaviricota
APCJ01_EVE011	high	100	viral (6)	VDB (4), UDB Viruses (2)	APCJ01004777.1_5624-6013:-	5.46e-15	39.8	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
APCJ01_EVE012	high	100	viral (6)	VDB (4), UDB Viruses (2)	APCJ01004782.1_48-248:+	8.64e-15	47.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
APCJ01_EVE013	high	100	viral (12)	VDB (9), UDB Viruses (3)	APCJ01004892.1_3992-4126:+	3.92e-19	77.8	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
APCJ01_EVE014	high	100	viral (21)	VDB (14), UDB Viruses (7)	APCJ01007184.1_1230-1774:+	1.45e-78	68.4	polyprotein [Riboviria sp.] acc=QTW97796.1 	polyprotein [Riboviria sp.] acc=QTW97796.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	Kitrinoviricota
APCJ01_EVE015	high	100	viral (1)	VDB (1)	APCJ01007209.1_399-794:-	1.04e-6	28.3	PSCNV polyprotein [Planarian secretory cell nidovirus] acc=YP_009551452.1 	PSCNV polyprotein [Planarian secretory cell nidovirus] acc=YP_009551452.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Nidovirales;f__Mononiviridae;g__Alphamononivirus;s__Planidovirus 1	Pisuviricota
APCJ01_EVE016	high	100	viral (21)	VDB (16), UDB Viruses (5)	APCJ01007239.1_399-1957:-	1.28e-244	66.9	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
APCJ01_EVE017	high	100	viral (21)	VDB (12), UDB Viruses (9)	APCJ01007372.1_390-1490:-	7.83e-23	24.2	Glycoprotein n=4 Tax=Culex tritaeniorhynchus rhabdovirus  RepID=F7J0V2_9RHAB	Glycoprotein n=4 Tax=Culex tritaeniorhynchus rhabdovirus  RepID=F7J0V2_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus tritaeniorhynchus	Negarnaviricota
APCJ01_EVE018	high	100	viral (4)	VDB (3), UDB Viruses (1)	APCJ01007425.1_990-1181:-	2.12e-19	60.9	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
APCJ01_EVE019	high	97	viral (12), maybe-viral (1)	VDB (9), UDB Viruses (2), capsid (1), uncharacterized protein (1)	APCJ01004601.1_2274-5515:+	0	75.3	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Australian Anopheles totivirus	Duplornaviricota
APCJ01_EVE020	high	96	viral (20), maybe-viral (1)	VDB (13), UDB Viruses (6), glycoprotein protein (1), viral (1)	APCJ01003072.1_36659-36928:-	2.71e-36	68.2	putative glycoprotein [Bolahun virus variant 1] acc=AOR51367.1 	putative glycoprotein [Bolahun virus variant 1] acc=AOR51367.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Bolahun virus variant 1	Negarnaviricota
