eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALSDW01_EVE001	high	100	viral (8)	VDB (5), UDB Viruses (3)	CALSDW010000007.1_273286-273607:-	7.35e-9	27.8	Glycoprotein n=2 Tax=Wuhan Mosquito Virus 9  RepID=A0A8B0RLA0_9RHAB	Glycoprotein n=2 Tax=Wuhan Mosquito Virus 9  RepID=A0A8B0RLA0_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Wuhan Mosquito Virus 9	unclassified Viruses phylum
CALSDW01_EVE002	high	100	viral (20)	VDB (14), UDB Viruses (6)	CALSDW010000010.1_1447541-1448030:-	1.02e-46	55.2	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
CALSDW01_EVE003	high	100	viral (11)	VDB (8), UDB Viruses (3)	CALSDW010000010.1_1466942-1467728:-	7.66e-72	49.5	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
CALSDW01_EVE004	high	100	viral (7)	VDB (6), UDB Viruses (1)	CALSDW010000010.1_1468381-1468533:-	5.7e-12	60.8	capsid [Guadeloupe mosquito phasivirus] acc=QEM39251.1 	capsid [Guadeloupe mosquito phasivirus] acc=QEM39251.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__Phasivirus;s__Phasivirus guadeloupeense	Negarnaviricota
CALSDW01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	CALSDW010000010.1_1470983-1472158:-	1.91e-13	22.6	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
CALSDW01_EVE006	high	100	viral (21)	VDB (12), UDB Viruses (9)	CALSDW010000019.1_1247114-1247683:-	7.789999999999999e-74	57.3	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__unclassified Flaviviridae species	Kitrinoviricota
CALSDW01_EVE007	high	100	viral (4)	UDB Viruses (2), VDB (2)	CALSDW010000019.1_1247709-1248105:-	1.4000000000000002e-27	46.7	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__unclassified Flaviviridae species	Kitrinoviricota
CALSDW01_EVE008	high	100	viral (14)	VDB (13), UDB Viruses (1)	CALSDW010000024.1_1573527-1573757:+	4.1e-16	45.5	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CALSDW01_EVE009	high	100	viral (9)	VDB (8), UDB Viruses (1)	CALSDW010000024.1_1574603-1574791:+	6.45e-14	50.8	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CALSDW01_EVE010	high	100	viral (6)	VDB (4), UDB Viruses (2)	CALSDW010000024.1_1584818-1585519:+	7.370000000000001e-27	32.7	putative nucleoprotein [Bolahun virus variant 1] acc=AOR51368.1 	putative nucleoprotein [Bolahun virus variant 1] acc=AOR51368.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Bolahun virus variant 1	Negarnaviricota
