eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JXXC01_EVE001	high	100	viral (20)	VDB (13), UDB Viruses (7)	JXXC01001951.1_2502-3201:-	9.880000000000001e-29	35	polymerase PA [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42581.1 	polymerase PA [Guadeloupe mosquito quaranja-like virus 1] acc=QRW42581.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__Quaranjavirus;s__Guadeloupe mosquito quaranja-like virus 1	Negarnaviricota
JXXC01_EVE002	high	100	viral (21)	VDB (19), UDB Viruses (2)	JXXC01007517.1_4800-5104:-	1.58e-6	34	Nucleoprotein n=1 Tax=Kwatta virus  RepID=A0A0D3R130_9RHAB	Nucleoprotein n=1 Tax=Kwatta virus  RepID=A0A0D3R130_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Sunrhavirus;s__Sunrhavirus kwatta	Negarnaviricota
JXXC01_EVE003	high	100	viral (1)	VDB (1)	JXXC01007520.1_2103-2419:+	1.19e-17	47.7	hypothetical protein 2 [Bactrocera dorsalis orbivirus] acc=UPT53658.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus] acc=UPT53658.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus	Duplornaviricota
JXXC01_EVE004	high	100	viral (1)	VDB (1)	JXXC01008151.1_231-676:-	5.29e-26	38.3	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXXC01_EVE005	high	100	viral (1)	VDB (1)	JXXC01008151.1_709-1060:-	1.12e-13	42.6	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXXC01_EVE006	high	100	viral (11)	VDB (8), UDB Viruses (3)	JXXC01011139.1_9785-10435:-	3.56e-65	52.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JXXC01_EVE007	high	89	viral (13), maybe-viral (2)	VDB (9), UDB Viruses (4), uncharacterized protein (2)	JXXC01011139.1_10624-10995:-	9.83e-27	46.8	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
JXXC01_EVE008	high	71	viral (2), maybe-viral (1)	UDB Viruses (1), uncharacterized protein (1), VDB (1)	JXXC01000939.1_1358-1528:+	4.45e-8	44.4	Uncharacterized protein (Fragment) n=1 Tax=Phlebotomus kandelakii  RepID=A0A6B2EJ62_9DIPT	putative capsid protein [Partitiviridae sp.] acc=QYW05752.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Pisuviricota
JXXC01_EVE009	high	69	viral (8), maybe-viral (5)	VDB (6), uncharacterized protein (4), UDB Viruses (2), hypothetical protein (1)	JXXC01010912.1_677-1112:+	1.9e-25	39	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JXXC01_EVE010	high	50	maybe-viral (2), viral (2)	uncharacterized protein (2), UDB Viruses (1), VDB (1)	JXXC01021103.1_1391-2086:-	2.4399999999999994e-119	84.7	Uncharacterized protein n=1 Tax=Anopheles farauti  RepID=A0A182QB56_9DIPT	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Arthropoda
