eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JABEOT01_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	JABEOT010000001.1_15864602-15864983:+	2.41e-16	44	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
JABEOT01_EVE002	high	100	viral (3)	VDB (3)	JABEOT010000002.1_25768490-25768880:-	3.53e-12	39.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
JABEOT01_EVE003	high	100	viral (5)	VDB (4), UDB Viruses (1)	JABEOT010000002.1_34329945-34330235:+	7.52e-12	36.3	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JABEOT01_EVE004	high	100	viral (1)	VDB (1)	JABEOT010000003.1_33206402-33206986:-	1.49e-10	26.9	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JABEOT01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	JABEOT010000003.1_35035865-35036490:-	7.35e-10	26.6	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JABEOT01_EVE006	high	100	viral (11)	VDB (8), UDB Viruses (3)	JABEOT010000003.1_35313589-35313932:-	2e-24	41.2	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JABEOT01_EVE007	high	100	viral (2)	UDB Viruses (1), VDB (1)	JABEOT010000003.1_41536826-41537161:+	2.02e-9	30.1	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
JABEOT01_EVE008	high	96	viral (19), non-viral (1)	VDB (11), UDB Viruses (6), capsid (2), annotated protein of Eukaryota (1)	JABEOT010000003.1_41537163-41537603:+	1.0399999999999998e-42	51.7	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	nucleocapsid protein [Wuhan mosquito virus 1] acc=YP_009305133.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
JABEOT01_EVE009	high	92	viral (4), maybe-viral (1)	VDB (3), hypothetical protein (1), UDB Viruses (1)	JABEOT010000003.1_85490702-85491555:-	3.34e-77	53	capsid [Dragana partiti-like virus] acc=QRD99908.1 	capsid [Dragana partiti-like virus] acc=QRD99908.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dragana partiti-like virus	Pisuviricota
JABEOT01_EVE010	high	70	viral (6), maybe-viral (4)	VDB (5), uncharacterized protein (3), hypothetical protein (1), UDB Viruses (1)	JABEOT010000003.1_63668466-63668882:+	5.87e-20	41.7	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JABEOT01_EVE011	high	61	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	JABEOT010000195.1_6090-6198:-	3.2e-10	75	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
