eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE001	high	100	viral (12)	VDB (8), UDB Viruses (4)	NC_069143.1_2273964-2274149:+	2.2e-11	54	structural protein [Emberiza rustica parvoviridae sp.] acc=QTE03726.1 	structural protein [Emberiza rustica parvoviridae sp.] acc=QTE03726.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Emberiza rustica parvoviridae sp.	Cossaviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE002	high	100	viral (14)	UDB Viruses (7), VDB (7)	NC_069143.1_9019771-9020855:+	4.52e-158	65.7	RNA-dependent RNA polymerase-like protein n=1 Tax=Anopheline-associated C virus  RepID=U3PUR2_9VIRU	RNA-dependent RNA polymerase-like protein n=1 Tax=Anopheline-associated C virus  RepID=U3PUR2_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Anopheline-associated C virus	unclassified Viruses phylum
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE003	high	100	viral (14)	VDB (10), UDB Viruses (4)	NC_069144.1_10032946-10034001:+	9.51e-73	39.2	polyprotein [Karumba virus] acc=YP_009388577.1 	polyprotein [Karumba virus] acc=YP_009388577.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Karumba virus	Kitrinoviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE004	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_069145.1_40505719-40506076:+	3.69e-15	34.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE005	high	100	viral (5)	VDB (3), UDB Viruses (2)	NC_069145.1_4202346-4203190:+	6.289999999999999e-40	36.9	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE006	high	100	viral (5)	VDB (3), UDB Viruses (2)	NC_069145.1_4203874-4204283:+	1.67e-19	38	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE007	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_069145.1_43397279-43397647:-	1.99e-22	36.3	putative glycoprotein 1 [Anopheles marajoara virus] acc=QBK47213.1 	putative glycoprotein 1 [Anopheles marajoara virus] acc=QBK47213.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Madalivirus;s__Madalivirus amapaense	Negarnaviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE008	high	100	viral (21)	VDB (17), UDB Viruses (4)	NC_069145.1_43432924-43435047:-	1.1999999999999999e-184	43.2	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	Genome polyprotein n=40 Tax=unclassified Flaviviridae  RepID=A0A1C9U5B8_9FLAV	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__unclassified Flaviviridae species	Kitrinoviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE009	high	100	viral (20)	VDB (16), UDB Viruses (4)	NC_069145.1_56235989-56236900:+	4.21e-39	30.2	Nucleoprotein n=2 Tax=Orgi virus  RepID=A0A2Z2CP58_9RHAB	Nucleoprotein n=2 Tax=Orgi virus  RepID=A0A2Z2CP58_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Orgi virus	Negarnaviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE010	high	100	viral (35)	VDB (23), UDB Viruses (12)	NW_026453872.1_31877-34009:+	8.82e-137	59.7	polyprotein [Riboviria sp.] acc=QTW97796.1 	polyprotein [Riboviria sp.] acc=QTW97796.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Riboviria sp.	Kitrinoviricota
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic_EVE011	high	100	viral (6)	VDB (4), UDB Viruses (2)	NW_026453936.1_5846-6179:+	3.88e-20	38.5	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
