eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JALIHK01_EVE001	high	100	viral (2)	VDB (2)	JALIHK010000001.1_15961717-15962095:+	1.25e-16	44	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
JALIHK01_EVE002	high	100	viral (3)	VDB (3)	JALIHK010000003.1_26020461-26020930:-	1.22e-10	35.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
JALIHK01_EVE003	high	100	viral (13)	VDB (10), UDB Viruses (3)	JALIHK010000005.1_8086948-8087294:+	1.77e-20	41.7	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
JALIHK01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	JALIHK010000005.1_8373797-8373991:+	2.9e-9	41.5	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JALIHK01_EVE005	high	100	viral (3)	VDB (3)	JALIHK010000006.1_25970818-25971287:-	1.22e-10	35.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
JALIHK01_EVE006	high	84	viral (4), maybe-viral (2)	VDB (3), hypothetical protein (1), UDB Viruses (1), uncharacterized protein (1)	JALIHK010000004.1_42356474-42357140:-	4.25e-94	65.7	capsid [Dragana partiti-like virus] acc=QRD99908.1 	capsid [Dragana partiti-like virus] acc=QRD99908.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Dragana partiti-like virus	Pisuviricota
JALIHK01_EVE007	high	76	viral (12), maybe-viral (5)	VDB (8), UDB Viruses (4), uncharacterized protein (4), hypothetical protein (1)	JALIHK010000004.1_20488773-20489187:+	2.75e-24	42	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JALIHK01_EVE008	high	76	viral (12), maybe-viral (5)	VDB (8), UDB Viruses (4), uncharacterized protein (4), hypothetical protein (1)	JALIHK010000008.1_1242479-1242893:+	2.75e-24	42	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JALIHK01_EVE009	high	67	viral (12), maybe-viral (7), non-viral (1)	VDB (7), uncharacterized protein (6), UDB Viruses (5), annotated protein of Eukaryota (1), hypothetical protein (1)	JALIHK010000005.1_8090414-8090989:+	3.15e-24	28.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JALIHK01_EVE010	high	51	maybe-viral (17), viral (15), non-viral (1)	uncharacterized protein (14), VDB (12), UDB Viruses (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	JALIHK010000012.1_9993194-9994331:+	2.6100000000000002e-198	72.1	uncharacterized protein LOC121592356 n=5 Tax=Cellia  RepID=UPI001BE46008	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
