eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JBCDWH01_EVE001	high	100	viral (4)	VDB (3), UDB Viruses (1)	JBCDWH010000001.1_55142372-55142773:+	1.76e-19	37.5	nonstructural protein [Fako virus] acc=YP_009104381.1 	nonstructural protein [Fako virus] acc=YP_009104381.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Spinareoviridae;g__Dinovernavirus;s__Fako virus	Duplornaviricota
JBCDWH01_EVE002	high	100	viral (3)	VDB (2), UDB Viruses (1)	JBCDWH010000001.1_55902250-55904859:+	1.1e-191	34.3	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
JBCDWH01_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	JBCDWH010000001.1_55986055-55986369:+	1.08e-41	64.8	ORF3 protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XUK3_9VIRU	ORF3 protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XUK3_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
JBCDWH01_EVE004	high	100	viral (6)	VDB (4), UDB Viruses (2)	JBCDWH010000002.1_32663230-32664032:-	1.6599999999999998e-31	32.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
JBCDWH01_EVE005	high	100	viral (8)	VDB (5), UDB Viruses (3)	JBCDWH010000002.1_32666280-32667079:-	3.43e-33	32.1	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
JBCDWH01_EVE006	high	100	viral (4)	UDB Viruses (2), VDB (2)	JBCDWH010000002.1_32667034-32667563:-	5.72e-24	33.7	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
JBCDWH01_EVE007	high	100	viral (7)	VDB (5), UDB Viruses (2)	JBCDWH010000002.1_32669808-32670607:-	9e-33	31.7	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
JBCDWH01_EVE008	high	100	viral (7)	VDB (5), UDB Viruses (2)	JBCDWH010000002.1_32672852-32673651:-	6.189999999999999e-32	31.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
JBCDWH01_EVE009	high	100	viral (4)	UDB Viruses (2), VDB (2)	JBCDWH010000002.1_33223668-33223943:+	6.14e-17	40.6	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
JBCDWH01_EVE010	high	100	viral (4)	UDB Viruses (2), VDB (2)	JBCDWH010000002.1_33373930-33374121:+	7.33e-12	37.9	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
