eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE001	high	100	viral (20)	VDB (13), UDB Viruses (7)	NC_071288.1_55976759-55977501:-	1.16e-18	30.7	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE002	high	100	viral (2)	capsid (1), VDB (1)	NC_071288.1_55977550-55978167:-	3.14e-44	41.7	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75795.1 	uncharacterized protein [Drosophila biauraria male killing partitivirus 1] acc=BDH75795.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Drosophila biauraria male killing partitivirus 1	Arthropoda
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE003	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_071288.1_62532761-62532892:-	1.81e-10	56.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE004	high	100	viral (21)	VDB (18), UDB Viruses (3)	NC_071288.1_62564762-62565251:-	8.1e-46	54.5	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE005	high	100	viral (11)	VDB (8), UDB Viruses (3)	NC_071288.1_62571745-62572531:-	2.79e-77	50.7	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	nucleoprotein [Anopheles phasivirus 2] acc=BEK62752.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE006	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_071288.1_62575730-62576905:-	1.43e-13	22.6	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	ORF2 n=2 Tax=Anphevirus  RepID=A0A0B5KKD4_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__unclassified Anphevirus species	Negarnaviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE007	high	100	viral (1)	VDB (1)	NC_071288.1_63372337-63372806:-	1.05e-9	31.5	putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 	putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus	Negarnaviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE008	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071288.1_64001664-64002143:-	1.31e-76	74.1	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE009	high	100	viral (20)	VDB (11), UDB Viruses (9)	NC_071288.1_73683785-73684056:-	5.88e-44	81.3	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	RNA-dependent RNA polymerase [Hubei reo-like virus 12] acc=QTW97832.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei reo-like virus 12	unclassified Viruses phylum
GCF_943734705.1_idAnoCousDA_361_x.2_genomic_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_071289.1_54236130-54236448:+	2.13e-21	45.8	polyprotein [Karumba virus] acc=YP_009388577.1 	polyprotein [Karumba virus] acc=YP_009388577.1 	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Karumba virus	Kitrinoviricota
