eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE001	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_064597.1_17699215-17700441:+	5.8e-198	66.6	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE002	high	100	viral (11)	VDB (6), UDB Viruses (5)	NC_064597.1_17795997-17797212:-	4.47e-189	65.1	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE003	high	100	viral (11)	VDB (6), UDB Viruses (5)	NC_064597.1_17806916-17808131:-	4.47e-189	65.1	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE004	high	100	viral (9)	VDB (5), UDB Viruses (4)	NC_064597.1_18152970-18154174:+	7.719999999999999e-189	66.6	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	hypothetical protein [Ferres luteo sobemo-like virus] acc=QSL99563.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Ferres luteo sobemo-like virus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE005	high	100	viral (20)	VDB (16), UDB Viruses (4)	NC_064597.1_18154402-18154743:+	2.97e-39	54.4	hypothetical protein [Leuven Sobemo-like virus 3] acc=QZZ63363.1 	hypothetical protein [Leuven Sobemo-like virus 3] acc=QZZ63363.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Pisoniviricetes;o__Sobelivirales;f__Solemoviridae;g__unclassified Solemoviridae genus;s__Leuven Sobemo-like virus 3	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE006	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064598.1_55382896-55384085:-	6.13e-146	55	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE007	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064599.1_40142191-40142397:+	4.97e-20	56.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE008	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064599.1_40153277-40153483:+	4.97e-20	56.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE009	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064599.1_40164520-40164726:+	4.97e-20	56.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
GCF_943734845.2_idAnoFuneDA-416_04_genomic_EVE010	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064599.1_40174484-40174690:+	4.97e-20	56.5	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
