eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE001	high	100	viral (9)	VDB (5), UDB Viruses (4)	NC_071285.1_31307905-31308119:-	3.04e-15	59.7	Uncharacterized protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV1_9VIRU	Uncharacterized protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV1_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE002	high	100	viral (22)	VDB (16), UDB Viruses (6)	NC_071285.1_34747466-34748269:+	6.3e-77	46.3	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE003	high	100	viral (20)	VDB (15), UDB Viruses (5)	NC_071286.1_3324165-3325346:+	1.19e-36	28	putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 	putative nucleocapsid protein [Enontekio merhavirus] acc=UYL94378.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Enontekio merhavirus	Negarnaviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE004	high	100	viral (18)	VDB (11), UDB Viruses (7)	NC_071286.1_3935998-3936527:+	3.22e-53	47.4	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE005	high	100	viral (10)	VDB (6), UDB Viruses (4)	NC_071286.1_73722674-73722964:+	9.96e-24	50	Capsid protein n=1 Tax=Hubei virga-like virus 1  RepID=A0A1L3KJU2_9VIRU	Capsid protein n=1 Tax=Hubei virga-like virus 1  RepID=A0A1L3KJU2_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 1	Kitrinoviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE006	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_071287.1_3179577-3179957:-	4.29e-12	33.1	putative nucleoprotein [Anopheles darlingi virus] acc=QBK47199.1 	putative nucleoprotein [Anopheles darlingi virus] acc=QBK47199.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Madalivirus;s__Madalivirus amazonaense	Negarnaviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE007	high	100	viral (6)	VDB (4), UDB Viruses (2)	NW_026684298.1_9881-11285:+	3.2099999999999997e-220	65	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE008	high	100	viral (21)	VDB (13), UDB Viruses (8)	NW_026684312.1_34975-36024:-	2.25e-46	34.4	RNA-dependent RNA polymerase [Mopeia rhabdovirus] acc=AOR81461.1 	RNA-dependent RNA polymerase [Mopeia rhabdovirus] acc=AOR81461.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Mopeia rhabdovirus	Negarnaviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE009	high	100	viral (21)	VDB (16), UDB Viruses (5)	NW_026684356.1_7554-8471:-	1.88e-195	81.4	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	RNA-dependent RNA polymerase [Soufli partiti-like virus] acc=QRD99865.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Soufli partiti-like virus	Pisuviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE010	high	100	viral (16)	VDB (11), UDB Viruses (5)	NW_026684947.1_2479-2790:-	6.12e-40	59.6	Capsid protein n=1 Tax=Hubei virga-like virus 1  RepID=A0A1L3KJU2_9VIRU	Capsid protein n=1 Tax=Hubei virga-like virus 1  RepID=A0A1L3KJU2_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 1	Kitrinoviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE011	high	100	viral (21)	VDB (15), UDB Viruses (6)	NW_026685290.1_1309-2358:+	1.14e-39	29.1	nucleoprotein [Puchong virus] acc=QEA08640.1 	nucleoprotein [Puchong virus] acc=QEA08640.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ephemerovirus;s__Ephemerovirus puchong	Negarnaviricota
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic_EVE012	high	100	viral (20)	VDB (14), UDB Viruses (6)	NW_026685536.1_849-1652:-	1.37e-78	47	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
