eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CAJZCY01_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	CAJZCY010000002.1_11073241-11073794:+	1.32e-26	35.9	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	ORF1 [Xincheng Mosquito Virus] acc=YP_009302384.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus xinchengense	Negarnaviricota
CAJZCY01_EVE002	high	100	viral (7)	VDB (4), UDB Viruses (3)	CAJZCY010000002.1_11150803-11151898:+	1.1399999999999999e-212	78.2	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
CAJZCY01_EVE003	high	100	viral (7)	VDB (4), UDB Viruses (3)	CAJZCY010000002.1_11152029-11152466:+	3.7199999999999997e-87	87	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
CAJZCY01_EVE004	high	100	viral (7)	VDB (4), UDB Viruses (3)	CAJZCY010000002.1_11152960-11153247:+	2.52e-46	82.2	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
CAJZCY01_EVE005	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_29995794-29997222:-	2.0499999999999998e-280	79.8	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE006	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30000044-30001472:-	7.52e-283	80.5	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE007	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30004296-30005316:-	2.88e-207	83.5	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30006456-30007884:-	7.52e-283	80.5	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30010720-30012148:-	3.3899999999999995e-279	79.6	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE010	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30014970-30016398:-	7.52e-283	80.5	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE011	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30019222-30020650:-	9.619999999999998e-286	80.9	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
CAJZCY01_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	CAJZCY010000004.1_30023483-30023968:-	1.11e-83	74.7	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
