eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
ATLZ01_EVE001	high	100	viral (7)	VDB (6), UDB Viruses (1)	ATLZ01004848.1_660-1256:+	2.3299999999999998e-66	59.9	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
ATLZ01_EVE002	high	100	viral (16)	VDB (10), UDB Viruses (6)	ATLZ01008100.1_778-1232:+	5.19e-66	71.2	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE003	high	100	viral (15)	VDB (10), UDB Viruses (5)	ATLZ01009234.1_2586-2867:+	2.86e-39	75.5	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE004	high	100	viral (2)	UDB Viruses (1), VDB (1)	ATLZ01009264.1_583-849:-	1.01e-8	36.6	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
ATLZ01_EVE005	high	100	viral (1)	VDB (1)	ATLZ01009350.1_758-1087:+	9.51e-9	33.9	hypothetical protein [Totiviridae sp.] acc=WAK77711.1 	hypothetical protein [Totiviridae sp.] acc=WAK77711.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Totiviridae sp.	Duplornaviricota
ATLZ01_EVE006	high	100	viral (26)	VDB (18), UDB Viruses (8)	ATLZ01010311.1_2815-3222:+	4.91e-19	42.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
ATLZ01_EVE007	high	100	viral (20)	VDB (12), UDB Viruses (8)	ATLZ01010311.1_3236-3370:+	2.65e-13	64.4	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
ATLZ01_EVE008	high	100	viral (7)	VDB (6), UDB Viruses (1)	ATLZ01014211.1_273-477:+	3.7e-14	53.3	nucleoprotein [Anopheles bunyavirus 1] acc=BEK62755.1 	nucleoprotein [Anopheles bunyavirus 1] acc=BEK62755.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
ATLZ01_EVE009	high	100	viral (2)	VDB (2)	ATLZ01038806.1_2530-2728:-	2.81e-11	40.9	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
ATLZ01_EVE010	high	100	viral (17)	VDB (11), UDB Viruses (6)	ATLZ01050963.1_3-290:+	4.939999999999999e-35	60	nucleoprotein [Anopheles bunyavirus 1] acc=BEK62755.1 	nucleoprotein [Anopheles bunyavirus 1] acc=BEK62755.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
ATLZ01_EVE011	high	100	viral (22)	VDB (14), UDB Viruses (8)	ATLZ01050973.1_24-338:-	7.87e-46	76	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE012	high	100	viral (18)	VDB (11), UDB Viruses (7)	ATLZ01050973.1_3-320:-	1.85e-44	72.6	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE013	high	100	viral (18)	VDB (11), UDB Viruses (7)	ATLZ01050973.1_3-323:-	4.82e-45	72.9	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE014	high	100	viral (65)	VDB (40), UDB Viruses (25)	ATLZ01050973.1_3-338:-	2.89e-48	74.1	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE015	high	100	viral (17)	VDB (11), UDB Viruses (6)	ATLZ01050973.1_33-329:-	4.419999999999999e-43	75.8	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
ATLZ01_EVE016	high	96	viral (19), non-viral (1)	VDB (12), UDB Viruses (7), annotated protein of Eukaryota (1)	ATLZ01032801.1_1742-2353:+	9.500000000000001e-58	45.6	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	RNA-dependent RNA polymerase [Anphevirus sp.] acc=QTW97829.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Anphevirus;s__Anphevirus sp.	Negarnaviricota
ATLZ01_EVE017	high	95	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of Eukaryota (1)	ATLZ01006617.1_1-329:+	4.94e-18	40.5	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
ATLZ01_EVE018	high	88	viral (12), maybe-viral (2)	VDB (9), UDB Viruses (2), uncharacterized protein (2), capsid (1)	ATLZ01038394.1_166-1312:+	3.99e-197	66.6	Capsid protein n=2 Tax=root  RepID=A0A182PVZ4_9DIPT	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Australian Anopheles totivirus	Duplornaviricota
ATLZ01_EVE019	high	88	viral (17), non-viral (2), maybe-viral (1)	VDB (12), UDB Viruses (5), annotated protein of Eukaryota (2), uncharacterized protein (1)	ATLZ01042980.1_501-1424:+	1.14e-50	35.4	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
ATLZ01_EVE020	high	87	viral (19), non-viral (3)	VDB (16), UDB Viruses (3), annotated protein of Eukaryota (2), annotated protein of unclassified root superkingdom (1)	ATLZ01001599.1_6419-6996:-	6.79e-26	35.6	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
ATLZ01_EVE021	high	63	viral (12), non-viral (7), maybe-viral (1)	annotated protein of Eukaryota (6), viral (6), VDB (4), UDB Viruses (2), annotated protein of unclassified root superkingdom (1), uncharacterized protein (1)	ATLZ01038750.1_553-789:+	3.08e-53	98.7	baculoviral IAP repeat-containing protein 3-like n=2 Tax=Anopheles nili  RepID=UPI00237A26E0	baculoviral IAP repeat-containing protein [Melicertus latisulcatus majanivirus] acc=BDT62313.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__unclassified Naldaviricetes order;f__Nimaviridae;g__unclassified Nimaviridae genus;s__Melicertus latisulcatus majanivirus	Arthropoda
ATLZ01_EVE022	high	60	maybe-viral (8), viral (5)	uncharacterized protein (8), VDB (3), UDB Viruses (2)	ATLZ01023057.1_621-1112:-	2.4599999999999998e-40	51.3	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	Capsid protein n=1 Tax=Wuhan insect virus 23  RepID=A0A1L3KLS1_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Wuhan insect virus 23	Arthropoda
ATLZ01_EVE023	high	58	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	ATLZ01000949.1_3615-3724:+	7.88e-10	75.7	Uncharacterized protein (Fragment) n=1 Tax=Daphnia magna  RepID=A0A164IIZ0_9CRUS	putative RNA dependent RNA polymerase [Hattula partiti-like virus] acc=UUV42351.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Hattula partiti-like virus	Arthropoda
ATLZ01_EVE024	high	56	maybe-viral (8), viral (5), non-viral (2)	uncharacterized protein (8), VDB (3), annotated protein of Eukaryota (2), UDB Viruses (2)	ATLZ01035565.1_213-728:+	2.48e-39	54.2	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	hypothetical protein [Partitiviridae sp.] acc=QYW05753.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Arthropoda
ATLZ01_EVE025	high	52	maybe-viral (9), viral (5), non-viral (2)	uncharacterized protein (9), VDB (3), annotated protein of Eukaryota (2), UDB Viruses (2)	ATLZ01023057.1_125-514:-	1.38e-28	37.7	hypothetical protein [Partitiviridae sp.] acc=QYW05753.1 	hypothetical protein [Partitiviridae sp.] acc=QYW05753.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Arthropoda
ATLZ01_EVE026	high	50	viral (9), non-viral (6), maybe-viral (5)	viral (9), annotated protein of Eukaryota (6), uncharacterized protein (5)	ATLZ01040308.1_1033-1182:+	1.05e-32	98	Baculoviral IAP repeat-containing protein 5 n=33 Tax=Culicidae  RepID=A0A182RG31_ANOFN	NA	NA	Arthropoda
ATLZ01_EVE027	high	47	maybe-viral (10), viral (8), non-viral (2)	VDB (6), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	ATLZ01015525.1_587-1078:-	1.8799999999999998e-87	78	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
ATLZ01_EVE028	high	46	maybe-viral (10), viral (8), non-viral (2)	VDB (5), glycoprotein protein (4), uncharacterized protein (4), UDB Viruses (3), annotated protein of Eukaryota (2), polyprotein protein (2)	ATLZ01006640.1_8314-8721:-	1.17e-69	76.5	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda
ATLZ01_EVE029	high	46	maybe-viral (12), viral (7), non-viral (1)	uncharacterized protein (9), VDB (4), UDB Viruses (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	ATLZ01014559.1_487-1615:+	7.339999999999999e-211	74.5	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
ATLZ01_EVE030	high	45	viral (9), maybe-viral (5), non-viral (5), false-viral (1)	VDB (7), annotated protein of Eukaryota (5), uncharacterized protein (5), UDB Viruses (2), ubiquitin (1)	ATLZ01005803.1_3409-3666:+	1.54e-23	53	RING-type domain-containing protein n=2 Tax=Strigamia maritima  RepID=T1JFM1_STRMM	inhibitor of apoptosis 3 [Choristoneura fumiferana multiple nucleopolyhedrovirus] acc=NP_848342.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__Alphabaculovirus chofumiferanae	Arthropoda
ATLZ01_EVE031	high	44	non-viral (10), viral (9), false-viral (1)	annotated protein of Eukaryota (9), viral (4), VDB (3), UDB Viruses (2), annotated protein of unclassified root superkingdom (1), ubiquitin (1)	ATLZ01038750.1_304-537:+	8.919999999999999e-55	98.7	baculoviral IAP repeat-containing protein 3-like n=2 Tax=Anopheles nili  RepID=UPI00237A26E0	iap-3 [Cryptophlebia leucotreta granulovirus] acc=NP_891863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Betabaculovirus;s__Betabaculovirus cryleucotretae	Arthropoda
