eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE001	high	100	viral (3)	VDB (2), UDB Viruses (1)	NC_064874.1_55869737-55872070:+	9.719999999999999e-161	33	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	unclassified Viruses phylum
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	NC_064874.1_56066211-56066525:+	1.08e-41	64.8	ORF3 protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XUK3_9VIRU	ORF3 protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XUK3_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE003	high	100	viral (9)	VDB (6), UDB Viruses (3)	NC_064875.1_32517270-32518069:-	8.53e-32	31.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE004	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32518024-32518550:-	2.9499999999999997e-24	33.3	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE005	high	100	viral (6)	VDB (4), UDB Viruses (2)	NC_064875.1_32520798-32521597:-	1.1e-30	31.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE006	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32521585-32521906:-	2.6e-21	38.5	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE007	high	100	viral (9)	VDB (7), UDB Viruses (2)	NC_064875.1_32523838-32524637:-	8.02e-31	31	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE008	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32524592-32525118:-	5.0099999999999997e-23	32.2	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE009	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32525073-32525599:-	1.1499999999999999e-24	32.8	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE010	high	100	viral (8)	VDB (6), UDB Viruses (2)	NC_064875.1_32527844-32528643:-	4.23e-31	31.4	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE011	high	100	viral (4)	UDB Viruses (2), VDB (2)	NC_064875.1_32528631-32528952:-	2.6e-21	38.5	hypothetical protein [Merida virus] acc=QGA70898.1 	hypothetical protein [Merida virus] acc=QGA70898.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota
