eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
CALTRM01_EVE001	high	100	viral (6)	VDB (6)	CALTRM010000004.1_1521332-1521520:-	2.74e-12	72.1	RdRp [Hubei partiti-like virus 35] acc=APG78333.1 	RdRp [Hubei partiti-like virus 35] acc=APG78333.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei partiti-like virus 35	unclassified Viruses phylum
CALTRM01_EVE002	high	100	viral (7)	VDB (4), UDB Viruses (3)	CALTRM010000011.1_248055-249150:+	2.0799999999999996e-215	78.8	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	Virion glycoprotein N-terminal domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJW8_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
CALTRM01_EVE003	high	100	viral (7)	VDB (4), UDB Viruses (3)	CALTRM010000011.1_249281-249718:+	3.7199999999999997e-87	87	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	WYL domain-containing protein n=1 Tax=Hubei virga-like virus 21  RepID=A0A1L3KJV3_9VIRU	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Hubei virga-like virus 21	Kitrinoviricota
CALTRM01_EVE004	high	95	viral (40), maybe-viral (2), non-viral (1)	VDB (20), UDB Viruses (17), capsid (2), uncharacterized protein (2), annotated protein of unclassified root superkingdom (1), virus (1)	CALTRM010000011.1_185180-186319:+	6.52e-32	33.3	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
CALTRM01_EVE005	high	94	viral (38), maybe-viral (3), non-viral (1)	VDB (18), UDB Viruses (16), capsid (3), uncharacterized protein (3), annotated protein of unclassified root superkingdom (1), virus (1)	CALTRM010000011.1_190364-191503:+	6.52e-32	33.3	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	putative non-structural protein NS1 [Atrato Denso-like virus] acc=QHA33820.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus	Cossaviricota
CALTRM01_EVE006	high	94	viral (12), maybe-viral (1)	VDB (8), UDB Viruses (4), uncharacterized protein (1)	CALTRM010000479.1_11498-11760:-	6.21e-16	48.9	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
CALTRM01_EVE007	high	94	viral (12), maybe-viral (1)	VDB (8), UDB Viruses (4), uncharacterized protein (1)	CALTRM010000510.1_10206-10468:+	6.21e-16	48.9	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	nucleoprotein [Aedes alboannulatus orthomyxo-like virus] acc=ASA47423.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Aedes alboannulatus orthomyxo-like virus	Negarnaviricota
CALTRM01_EVE008	high	86	viral (10), maybe-viral (2)	VDB (7), UDB Viruses (3), uncharacterized protein (2)	CALTRM010000479.1_11806-12127:-	1.8e-15	39.1	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Palmetto orthomyxo-like virus	Negarnaviricota
CALTRM01_EVE009	high	86	viral (10), maybe-viral (2)	VDB (7), UDB Viruses (3), uncharacterized protein (2)	CALTRM010000510.1_9839-10160:+	1.8e-15	39.1	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	nucleoprotein [Palmetto orthomyxo-like virus] acc=UGO48659.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Palmetto orthomyxo-like virus	Negarnaviricota
CALTRM01_EVE010	high	85	viral (18), maybe-viral (3)	VDB (12), UDB Viruses (6), glycoprotein protein (2), uncharacterized protein (1)	CALTRM010000011.1_174381-174944:+	1.3099999999999999e-42	48.3	putative glycoprotein 2 [Anopheles marajoara virus] acc=QBK47214.1 	putative glycoprotein 2 [Anopheles marajoara virus] acc=QBK47214.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Madalivirus;s__Madalivirus amapaense	Negarnaviricota
CALTRM01_EVE011	high	49	viral (9), non-viral (6), maybe-viral (5)	viral (8), annotated protein of Eukaryota (5), uncharacterized protein (5), annotated protein of Bacteria (1), VDB (1)	CALTRM010000008.1_2268450-2268683:-	1.1800000000000001e-26	56.4	Uncharacterized protein n=2 Tax=Myzorhynchus  RepID=A0A084WA84_ANOSI	iap3 [Lambdina fiscellaria nucleopolyhedrovirus] acc=YP_009133248.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__Naldaviricetes;o__Lefavirales;f__Baculoviridae;g__Alphabaculovirus;s__Alphabaculovirus lafiscellariae	Arthropoda
CALTRM01_EVE012	high	47	maybe-viral (9), viral (8), non-viral (3)	VDB (5), uncharacterized protein (4), annotated protein of Eukaryota (3), glycoprotein protein (3), UDB Viruses (3), polyprotein protein (2)	CALTRM010000142.1_236923-237429:-	1.17e-62	65.4	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Kaiowa virus] acc=ASV45863.1 	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda
CALTRM01_EVE013	high	46	maybe-viral (12), viral (7), non-viral (1)	uncharacterized protein (7), VDB (5), glycoprotein protein (3), polyprotein protein (2), UDB Viruses (2), annotated protein of Eukaryota (1)	CALTRM010000060.1_386061-387042:-	1.7799999999999996e-144	64.9	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
CALTRM01_EVE014	high	42	maybe-viral (10), viral (5), non-viral (1)	uncharacterized protein (6), VDB (3), glycoprotein protein (2), polyprotein protein (2), UDB Viruses (2), annotated protein of Eukaryota (1)	CALTRM010000048.1_36627-37635:+	2.75e-81	44.6	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
CALTRM01_EVE015	high	42	maybe-viral (10), viral (5), non-viral (1)	uncharacterized protein (6), VDB (3), glycoprotein protein (2), polyprotein protein (2), UDB Viruses (2), annotated protein of Eukaryota (1)	CALTRM010000076.1_306455-307463:+	1.95e-81	44.6	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
CALTRM01_EVE016	high	41	maybe-viral (9), viral (4), non-viral (1)	uncharacterized protein (6), polyprotein protein (2), UDB Viruses (2), VDB (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	CALTRM010000048.1_26582-27700:+	3.18e-93	45.5	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
CALTRM01_EVE017	high	41	maybe-viral (9), viral (4), non-viral (1)	uncharacterized protein (6), polyprotein protein (2), UDB Viruses (2), VDB (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	CALTRM010000048.1_42177-43295:+	7.96e-94	45.8	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
CALTRM01_EVE018	high	41	maybe-viral (14), viral (5), non-viral (1)	uncharacterized protein (11), VDB (3), polyprotein protein (2), UDB Viruses (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	CALTRM010000049.1_132031-133176:+	1.0199999999999999e-221	74.6	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
CALTRM01_EVE019	high	41	maybe-viral (14), viral (5), non-viral (1)	uncharacterized protein (11), VDB (3), polyprotein protein (2), UDB Viruses (2), annotated protein of Eukaryota (1), glycoprotein protein (1)	CALTRM010000049.1_137117-138262:+	2.7699999999999998e-219	74.3	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda
