eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
APCH01_EVE001	high	100	viral (15)	VDB (9), UDB Viruses (6)	APCH01004873.1_4566-5985:+	6.23e-214	64.9	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
APCH01_EVE002	high	100	viral (8)	VDB (7), UDB Viruses (1)	APCH01007137.1_3516-3909:-	5.06e-20	45.8	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
APCH01_EVE003	high	100	viral (21)	VDB (15), UDB Viruses (6)	APCH01015341.1_1569-4045:-	0	56.7	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
APCH01_EVE004	high	96	viral (21), non-viral (1)	VDB (14), UDB Viruses (7), annotated protein of Eukaryota (1)	APCH01004965.1_13106-13333:-	3.79e-18	47.4	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	polymerase PB2 [Dipteran orthomyxo-related virus OKIAV195] acc=QMP82390.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Insthoviricetes;o__Articulavirales;f__Orthomyxoviridae;g__unclassified Orthomyxoviridae genus;s__Dipteran orthomyxo-related virus OKIAV195	Negarnaviricota
APCH01_EVE005	high	95	viral (16), non-viral (1)	VDB (9), UDB Viruses (7), annotated protein of unclassified root superkingdom (1)	APCH01001149.1_1586-3110:-	1.2399999999999999e-157	45.4	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
APCH01_EVE006	high	95	viral (19), maybe-viral (1)	VDB (15), UDB Viruses (4), glycoprotein protein (1)	APCH01004873.1_9490-9708:+	1.79e-18	39.3	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	glycoprotein precursor [Wuhan mosquito virus 1] acc=YP_009305131.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus wuhanense	Negarnaviricota
APCH01_EVE007	high	94	viral (17), maybe-viral (1)	VDB (15), UDB Viruses (2), uncharacterized protein (1)	APCH01012594.1_6-200:+	1.33e-15	100	Uncharacterized protein n=1 Tax=Anopheles quadriannulatus  RepID=A0A182XTS6_ANOQN	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33808.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
APCH01_EVE008	high	93	viral (12), maybe-viral (1), non-viral (1)	VDB (6), UDB Viruses (5), annotated protein of unclassified root superkingdom (1), capsid (1), uncharacterized protein (1)	APCH01001149.1_132-1220:-	6.49e-79	41.8	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33810.1 	hypothetical protein [Atrato Denso-like virus 1] acc=QHA33810.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Atrato Denso-like virus 1	Cossaviricota
APCH01_EVE009	high	87	viral (17), non-viral (2), maybe-viral (1)	VDB (9), UDB Viruses (6), capsid (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1), uncharacterized protein (1)	APCH01001149.1_1229-1528:-	1.6299999999999997e-42	65.6	structural protein [Emberiza rustica parvoviridae sp.] acc=QTE03726.1 	structural protein [Emberiza rustica parvoviridae sp.] acc=QTE03726.1 	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Emberiza rustica parvoviridae sp.	Cossaviricota
APCH01_EVE010	high	84	viral (11), maybe-viral (3), non-viral (1)	VDB (6), UDB Viruses (5), uncharacterized protein (3), annotated protein of Eukaryota (1)	APCH01015982.1_394-1697:-	9.76e-46	30.8	VP4 [Morris orbivirus] acc=AQU42771.1 	VP4 [Morris orbivirus] acc=AQU42771.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Morris orbivirus	unclassified Viruses phylum
