eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE001	high	100	viral (20)	VDB (12), UDB Viruses (8)	NC_071291.1_57721704-57721847:-	3.41e-14	65.2	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	RNA-dependent RNA polymerase [Evros rhabdovirus 2] acc=QRD99862.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 2	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE002	high	100	viral (26)	VDB (18), UDB Viruses (8)	NC_071291.1_57752121-57752528:-	4.91e-19	42.8	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	RNA-dependent RNA polymerase [Beaumont virus] acc=AGX86091.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Beaumont virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE003	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39535193-39535614:+	2.24e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE004	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39539179-39539600:+	1.12e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE005	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39543165-39543586:+	1.12e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE006	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39547150-39547571:+	1.12e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE007	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39551138-39551559:+	1.12e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE008	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39555128-39555549:+	1.12e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE009	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39559116-39559537:+	1.97e-57	69.7	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE010	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39563106-39563523:+	1.2199999999999998e-55	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE011	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39615813-39616234:-	1.2200000000000001e-58	70.3	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE012	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39619798-39620219:-	1.12e-56	69	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE013	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_39623778-39624202:-	1.8699999999999997e-55	68.3	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE014	high	100	viral (9)	VDB (7), UDB Viruses (2)	NC_071292.1_39809262-39809860:+	6.870000000000001e-70	58.9	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE015	high	100	viral (7)	VDB (6), UDB Viruses (1)	NC_071292.1_39817768-39818388:+	7.580000000000001e-71	60	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	glycoprotein [Anopheles phasivirus 2] acc=BEK62751.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 2	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE016	high	100	viral (18)	VDB (11), UDB Viruses (7)	NC_071292.1_41226263-41226750:+	2.8099999999999996e-66	69.9	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE017	high	100	viral (18)	VDB (11), UDB Viruses (7)	NC_071292.1_41320921-41321388:+	3.91e-77	76.9	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	hypothetical protein [Culex Bunya-like virus] acc=AXQ04768.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Culex Bunya-like virus	Negarnaviricota
GCF_943737925.1_idAnoNiliSN_F5_01_genomic_EVE018	high	100	viral (16)	VDB (10), UDB Viruses (6)	NC_071292.1_41388282-41388505:-	1.1100000000000001e-21	60	nucleoprotein [Anopheles bunyavirus 1] acc=BEK62755.1 	nucleoprotein [Anopheles bunyavirus 1] acc=BEK62755.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__unclassified Bunyavirales family;g__unclassified Bunyavirales genus;s__Anopheles bunyavirus 1	Negarnaviricota
