eve_id	confidence	eve_score	suggests	because	locus	top_evalue	top_pident	top_desc	top_viral_desc	top_viral_lineage	max_count_phylum
JXXA01_EVE001	high	100	viral (11)	VDB (8), UDB Viruses (3)	JXXA01000113.1_9296-9946:-	6.25e-66	56.4	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	nucleoprotein [Anopheles phasivirus 1] acc=BEK62749.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phenuiviridae;g__unclassified Phenuiviridae genus;s__Anopheles phasivirus 1	Negarnaviricota
JXXA01_EVE002	high	100	viral (23)	VDB (15), UDB Viruses (8)	JXXA01001178.1_1160-1465:-	2.73e-22	40.6	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
JXXA01_EVE003	high	100	viral (12)	VDB (9), UDB Viruses (3)	JXXA01003660.1_8237-8519:+	1.17e-13	37.2	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	nucleocapsid [Xanthi rhabdovirus] acc=QSL99567.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Xanthi rhabdovirus	Negarnaviricota
JXXA01_EVE004	high	100	viral (20)	VDB (12), UDB Viruses (8)	JXXA01003988.1_6677-6913:+	3.2499999999999996e-43	86.1	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	RNA-dependent RNA polymerase [Anopheles annulipes orbivirus] acc=ASU50444.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Anopheles annulipes orbivirus	unclassified Viruses phylum
JXXA01_EVE005	high	100	viral (8)	VDB (5), UDB Viruses (3)	JXXA01004703.1_3222-4244:+	6.14e-58	35.2	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
JXXA01_EVE006	high	100	viral (1)	VDB (1)	JXXA01007703.1_267-538:+	2.28e-9	35.8	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXXA01_EVE007	high	100	viral (1)	VDB (1)	JXXA01007703.1_561-995:+	3.1999999999999996e-30	41.1	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	hypothetical protein 2 [Bactrocera dorsalis orbivirus isolate Bt] acc=UPT53744.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__Sedoreoviridae;g__Orbivirus;s__Bactrocera dorsalis orbivirus isolate Bt	Duplornaviricota
JXXA01_EVE008	high	100	viral (2)	UDB Viruses (1), VDB (1)	JXXA01010395.1_4466-4723:+	5.44e-15	40.7	putative capsid [Anopheles totivirus] acc=AOR51365.1 	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
JXXA01_EVE009	high	100	viral (2)	UDB Viruses (1), VDB (1)	JXXA01010395.1_4903-5612:+	1.0099999999999999e-23	31.2	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
JXXA01_EVE010	high	100	viral (20)	VDB (14), UDB Viruses (6)	JXXA01010395.1_5594-6249:+	3.7600000000000005e-91	65.8	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
JXXA01_EVE011	high	100	viral (20)	VDB (12), UDB Viruses (8)	JXXA01014271.1_7480-7665:-	3.95e-18	59.7	VP3 [Reoviridae sp.] acc=QYW05788.1 	VP3 [Reoviridae sp.] acc=QYW05788.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Resentoviricetes;o__Reovirales;f__unclassified Reovirales family;g__unclassified Reovirales genus;s__Reoviridae sp.	Duplornaviricota
JXXA01_EVE012	high	100	viral (2)	UDB Viruses (1), VDB (1)	JXXA01015262.1_4607-4783:+	2.27e-9	35.4	putative glycoprotein [Gambie virus] acc=AOR51380.1 	putative glycoprotein [Gambie virus] acc=AOR51380.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
JXXA01_EVE013	high	100	viral (4)	UDB Viruses (2), VDB (2)	JXXA01017303.1_7230-7544:-	2.2100000000000002e-29	49.5	putative glycoprotein [Gambie virus] acc=AOR51380.1 	putative glycoprotein [Gambie virus] acc=AOR51380.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Xinmoviridae;g__Gambievirus;s__Gambievirus senegalense	Negarnaviricota
JXXA01_EVE014	high	95	viral (20), non-viral (1)	VDB (15), UDB Viruses (5), annotated protein of Eukaryota (1)	JXXA01015399.1_6569-7575:-	8.46e-17	22.5	glycoprotein [Rhabdoviridae sp.] acc=QXV86501.1 	glycoprotein [Rhabdoviridae sp.] acc=QXV86501.1 	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Rhabdoviridae sp.	Negarnaviricota
JXXA01_EVE015	high	92	viral (19), maybe-viral (1), non-viral (1)	VDB (15), UDB Viruses (4), annotated protein of Eukaryota (1), uncharacterized protein (1)	JXXA01018491.1_6197-6433:-	1.4e-19	50.6	RdRp [Anopheles totivirus] acc=AOR51364.1 	RdRp [Anopheles totivirus] acc=AOR51364.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
JXXA01_EVE016	high	88	viral (13), maybe-viral (2), non-viral (1)	VDB (11), UDB Viruses (2), uncharacterized protein (2), annotated protein of Eukaryota (1)	JXXA01006681.1_5701-7451:+	9.91e-268	63.1	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	capsid [Australian Anopheles totivirus] acc=YP_009417300.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Australian Anopheles totivirus	Duplornaviricota
JXXA01_EVE017	high	76	viral (14), maybe-viral (6)	VDB (8), UDB Viruses (6), uncharacterized protein (5), hypothetical protein (1)	JXXA01000641.1_496-974:-	7.839999999999999e-37	43.8	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	putative capsid protein [Orestiada partiti-like virus] acc=QRD99858.1 	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Orestiada partiti-like virus	Pisuviricota
JXXA01_EVE018	high	72	viral (8), maybe-viral (2)	UDB Viruses (4), VDB (4), uncharacterized protein (2)	JXXA01004703.1_1735-3060:+	7.259999999999999e-162	82.1	Uncharacterized protein n=1 Tax=Anopheles farauti  RepID=A0A182QB56_9DIPT	putative capsid [Anopheles totivirus] acc=AOR51365.1 	k__Viruses;K__Orthornavirae;p__Duplornaviricota;c__Chrymotiviricetes;o__Ghabrivirales;f__Totiviridae;g__unclassified Totiviridae genus;s__Anopheles totivirus	Duplornaviricota
